word,confidence,bbox
“I,91.45301818847656,"83,4,118,28"
have,93.86322021484375,"139,4,222,29"
studied,96.1439208984375,"242,4,368,28"
these,95.67850494384766,"389,5,481,29"
whopping,96.13813781738281,"502,4,672,32"
big,92.64567565917969,"692,3,745,31"
Jap-,89.61723327636719,"764,2,840,29"
anese,60.940582275390625,"49,38,148,58"
are,46.08698272705078,"170,26,243,87"
for,96.40715789794922,"272,32,323,56"
two,95.97566223144531,"352,35,416,56"
or,96.29853820800781,"444,38,481,55"
three,96.04408264160156,"508,32,598,55"
days,96.18572998046875,"627,32,706,59"
"now,”",93.47335052490234,"737,30,838,56"
gaid,20.863922119140625,"50,60,122,84"
"Digby,",96.27751159667969,"141,59,254,87"
sitting,96.53089141845703,"273,58,387,87"
down,96.46219635009766,"405,60,497,83"
wearily,96.48394012451172,"514,59,643,87"
in,96.72380828857422,"658,59,691,82"
a,92.330352783203125,"710,64,731,82"
cane-,92.330352783203125,"748,63,841,82"
seat,96.35089111328125,"451,90,522,110"
rocker,96.52617645263672,"538,88,651,110"
at,96.97603607177734,"668,89,702,109"
the,93.13715362548828,"722,87,775,109"
In-,91.51373291015625,"792,87,843,109"
:,0,"52,138,55,140"
Tales,71.27203369140625,"182,113,276,138"
of,95.40669250488281,"290,114,324,137"
side,96.26255798339844,"451,115,518,137"
"Inn,",93.181060791015625,"535,114,604,139"
‘“‘and,44.257259368896484,"624,114,706,137"
I,89.51930236816406,"724,114,739,136"
can't,71.69329833984375,"759,113,844,136"
make,95.74256896972656,"450,141,543,163"
out,95.74256896972656,"571,142,626,163"
what,92.61122131347656,"652,141,739,163"
any-,91.810150146484375,"765,146,843,166"
an,92.87504577636719,"116,172,159,191"
InsRie,80.39436340332031,"180,164,283,191"
Inn—,90.61064147949219,"303,167,395,191"
body,80.79412841796875,"453,168,534,195"
couid,80.65763854980469,"565,167,657,191"
want,46.424102783203125,"685,170,773,191"
to,65.06800079345703,"811,170,844,189"
;,49.796165466308594,"26,203,30,206"
own,76.2088623046875,"452,201,522,219"
one,76.2088623046875,"568,201,627,225"
for.,95.85942077636719,"675,195,733,220"
You,96.718841552734375,"776,195,844,217"
',74.87122344970703,"45,225,47,236"
The,93.93141174316406,"88,221,157,248"
Japanese,96.30847930908203,"176,221,335,250"
Jar.,92.7213134765625,"353,221,419,246"
can’t,95.61516571044922,"456,223,544,246"
put,95.39141082763672,"571,224,631,247"
it,95.17628479003906,"661,222,688,244"
on,95.963348388671875,"717,226,759,245"
the,96.25055694580078,"790,221,843,245"
:,66.67815399169922,"51,254,53,256"
lawn,91.08843231201172,"451,250,535,272"
in,95.93619537353516,"559,249,591,269"
front,95.93619537353516,"617,249,705,272"
of,96.17736053466797,"730,248,764,271"
the,96.63915252685547,"790,249,844,271"
"use,",30.421241760253906,"99,282,156,301"
for,96.08815002441406,"185,277,237,300"
it,95.40596771240234,"256,277,284,299"
is,96.799713134765625,"302,277,329,299"
too,96.56844329833984,"349,278,404,299"
delicate,37.396240234375,"422,276,557,300"
and,37.396240234375,"577,276,640,298"
too,93.2269287109375,"659,278,712,299"
valua-,90.26627349853516,"732,276,843,299"
e.,89.1580810546875,"90,309,115,327"
If,87.1532974243164,"147,294,179,327"
you,96.1484603881836,"197,309,260,330"
put,95.466400146484375,"280,305,338,330"
it,95.65565490722656,"355,304,380,326"
in,94.07207489013672,"397,304,430,326"
the,96.6958999633789,"450,303,505,326"
hallway,95.68140411376953,"524,303,661,329"
it,96.15052795410156,"681,303,707,325"
merely,95.29905700683594,"725,303,843,328"
tters,92.600921630859375,"111,331,193,353"
it,96.18782806396484,"215,330,241,352"
up,93.28272247314453,"264,335,306,357"
witheut,88.301605224609375,"331,329,467,355"
adding,96.07283782958984,"489,329,607,357"
anything,96.18821716308594,"630,329,788,356"
to,96.98692321777344,"811,331,844,351"
the,95.84261322021484,"58,356,115,381"
appearance,96.06056213378906,"138,361,337,385"
of,97.00310516357422,"360,357,395,380"
the,96.78839874267578,"419,357,473,381"
pegs,27.546676635742188,"498,351,591,412"
~,28.530548095703125,"610,351,616,412"
It,95.9413070678711,"683,356,713,380"
is,96.285186767578125,"738,356,765,379"
out,95.97234344482422,"790,357,845,379"
of,93.03999328613281,"56,384,93,409"
place,95.33533477783203,"114,384,203,414"
and,95.96060943603516,"225,384,289,409"
doesn’t,94.37150573730469,"308,384,432,409"
agree,95.97220611572266,"451,389,547,411"
with,96.44823455810547,"567,384,645,408"
the,93.1198501586914,"667,384,720,408"
furni-,92.39000701904297,"744,384,844,408"
"re,",93.02955627441406,"96,418,139,439"
the,96.51258087158203,"172,412,227,437"
woodwork,95.91552734375,"257,412,437,439"
or,92.450408935546875,"458,416,506,441"
pany,37.59170913696289,"533,408,593,468"
"thing,",62.568782806396484,"608,408,698,468"
in,90.00811004638672,"726,412,758,436"
the,90.00811004638672,"791,412,845,436"
-,0,"47,457,53,464"
"house,",0,"83,446,168,467"
a,11.981277465820312,"199,445,236,466"
A,53.99053192138672,"286,440,344,493"
LI,45.6476936340332,"370,440,392,467"
see,91.803924560546875,"414,445,468,465"
somebody,94.44441986083984,"495,440,664,468"
out,88.765411376953125,"712,443,768,465"
in,92.888336181640625,"814,442,845,464"
‘,49.35091018676758,"48,484,52,491"
ee,38.1279411315918,"101,469,239,522"
d,87.40552520751953,"294,468,315,492"
place,95.18772888183594,"332,468,422,496"
has,96.38233184814453,"438,467,496,492"
nea,47.68501663208008,"510,464,585,522"
$800,96.15147399902344,"600,467,671,495"
for,95.78426361083984,"686,468,736,492"
one.”,24.150901794433594,"755,469,843,492"
ota,27.013137817382812,"48,496,150,519"
you,95.98783874511719,"232,500,295,523"
must,95.91065979003906,"328,497,413,519"
admit,95.43036651611328,"444,495,544,519"
that,95.95366668701172,"576,495,647,518"
that,96.043060302734375,"680,496,752,518"
"jar,",96.65766906738281,"784,496,843,523"
swith,51.890586853027344,"54,523,137,547"
the,95.7709732055664,"164,520,221,547"
1100,96.4079360961914,"246,522,316,547"
monkeys,96.65258026123047,"342,522,495,549"
squirming,96.38005065917969,"522,522,698,550"
around,96.39196014404297,"724,522,844,545"
on,94.85330963134766,"60,555,101,576"
"it,",95.8867416381836,"124,550,159,575"
is,96.1679916381836,"185,549,212,573"
at,96.76878356933594,"235,551,270,573"
jenge,0,"291,545,376,604"
a,58.41224670410156,"397,554,419,572"
masterpiece,91.400970458984375,"440,550,648,575"
of,93.27657318115234,"670,550,706,572"
Japan-,90.97493743896484,"727,550,846,575"
ese,91.94181823730469,"61,582,115,602"
"art,”’",49.5332145690918,"140,577,222,603"
said,95.79943084716797,"249,576,319,600"
the,96.66411590576172,"358,576,397,600"
man,96.73711395263672,"422,582,496,603"
in,96.70189666748047,"519,577,552,600"
the,96.16648864746094,"577,576,631,601"
automobile,68.06751251220703,"655,578,846,601"
cand.,73.98457336425781,"60,610,129,631"
“That,95.267333984375,"93,633,197,657"
is,96.68549346923828,"223,632,252,657"
certainly,96.64258575439453,"280,632,434,660"
easy,0,"464,632,612,688"
to,95.91563415527344,"640,634,671,656"
look,96.58475494384766,"700,633,771,657"
"at,",58.56776428222656,"800,633,847,658"
but,67.92415618896484,"59,660,120,686"
the,95.785919189453125,"144,661,200,691"
monkeys,96.03053283691406,"224,661,378,688"
would,96.28703308105469,"402,660,505,685"
he,96.15376281738281,"532,662,569,685"
just,96.72377014160156,"608,664,661,685"
as,92.378448486328125,"686,667,723,685"
inter-,92.378448486328125,"750,662,846,685"
sing,26.418434143066406,"60,685,171,745"
sod,57.81904602050781,"184,688,248,741"
ores,24.79986572265625,"264,684,397,744"
=,52.13904571533203,"409,688,447,740"
a,94.5077133178711,"468,695,489,712"
enchinags,0,"510,684,618,748"
—,52.19384002685547,"663,690,725,743"
would,80.623077392578125,"744,690,845,713"
:,74.83509826660156,"51,718,54,733"
