word,confidence,bbox
Gov.,93.20470428466797,"66,149,141,172"
Vardaman,90.50810241699219,"161,149,343,173"
of,96.271240234375,"362,149,395,173"
Mississippi,78.31134033203125,"414,150,598,177"
has,96.46330261230469,"620,150,677,173"
not,96.5047607421875,"694,154,747,174"
put,96.91426849365234,"769,152,823,178"
in,92.0983657836914,"38,178,68,200"
an,92.0983657836914,"96,183,136,200"
appenrance,89.5518798828125,"163,183,360,204"
at,95.55878448486328,"386,180,417,201"
the,96.16571044921875,"445,179,497,201"
Mississippi,95.8034896850586,"524,178,709,207"
state,96.21711730957031,"738,182,823,204"
building,79.28413391113281,"39,206,178,232"
at,92.1130142211914,"202,209,234,229"
the,96.3484115600586,"259,207,312,229"
World's,60.12963104248047,"336,206,471,229"
Fair,96.03033447265625,"495,206,569,230"
grounds.,73.00997161865234,"593,208,740,232"
nor,95.81146240234375,"767,213,825,231"
has,96.077362060546875,"39,234,97,257"
he,96.5344009399414,"120,235,156,257"
notified,94.31116485595703,"179,235,305,257"
Mrs.,94.87107849121094,"329,235,403,257"
Gracia,96.42070007324219,"427,234,541,257"
Turnbull,92.820098876953125,"562,235,713,260"
Wal-,92.58358001708984,"738,236,823,259"
"ton,",96.28697204589844,"40,264,102,287"
the,96.14942932128906,"123,263,175,285"
"hostess,",96.14942932128906,"195,263,328,287"
of,96.63506317138672,"349,262,382,286"
the,96.54065704345703,"400,262,452,286"
time,95.85980224609375,"471,263,545,286"
of,95.86920166015625,"564,263,598,287"
his,96.4594497680664,"616,263,664,288"
visit.,90.7476577758789,"682,264,765,288"
Mrs.,94.202850341796875,"69,291,143,316"
Walton,96.66773223876953,"169,290,296,314"
was,95.82929229736328,"321,296,385,312"
at,95.82929229736328,"408,292,442,313"
the,96.21868133544922,"465,292,518,314"
building,93.30223846435547,"542,291,683,317"
yester-,50.145572662353516,"704,294,823,318"
day,95.44415283203125,"39,318,101,344"
receiving,95.52259063720703,"134,319,291,345"
visitors,96.57441711425781,"323,318,450,341"
and,96.000823974609375,"483,319,543,341"
explaining,96.07462310791016,"578,320,760,347"
to,96.55358123779297,"792,323,825,344"
them,96.31529235839844,"39,346,124,369"
the,93.295196533203125,"149,347,202,369"
hrsterical,21.125953674316406,"224,346,386,370"
associations,96.47798156738281,"409,346,617,370"
of,95.28632354736328,"639,348,674,371"
the,93.29368591308594,"693,349,747,372"
an-,92.57545471191406,"769,354,824,372"
tique,89.959503173828125,"40,373,124,398"
furniture.,96.10472106933594,"150,374,315,396"
