word,confidence,bbox
ent.,66.389251708984375,"0,13,82,38"
Who,74.06938171386719,"125,11,202,35"
would,96.19275665283203,"224,12,323,34"
let,95.516998291015625,"348,13,388,34"
a,96.150848388671875,"409,18,429,35"
name,95.94828033447266,"448,18,539,35"
and,96.46665954589844,"559,13,620,34"
qaariss,4.079322814941406,"642,14,770,62"
machine,0,"0,39,165,62"
felay,89.93426513671875,"187,41,277,66"
him-,1.5314178466796875,"297,40,359,63"
when,1.5314178466796875,"380,40,469,64"
he,85.69227600097656,"490,40,527,63"
had,80.37266540527344,"547,40,608,74"
not,67.51145935058594,"629,45,682,63"
seen,96.30645751953125,"701,48,771,63"
the,92.81047058105469,"23,66,75,97"
Igorrotes?,85.07205963134766,"99,68,278,94"
$,0,"380,71,384,72"
;,52.19040298461914,"510,85,513,86"
E,0,"728,89,735,106"
:,17.83234405517578,"50,157,56,159"
a,4.590850830078125,"144,154,264,171"
:,11.371086120605469,"709,175,713,176"
Ne,37.59161376953125,"85,180,160,203"
Te],25.135330200195312,"203,154,364,207"
E,20.45525360107422,"514,217,537,224"
ia,39.472450256347656,"691,206,712,219"
Si,32.537841796875,"763,199,767,201"
il,30.698776245117188,"100,196,188,268"
dia,0,"391,229,568,271"
7,52.52925491333008,"12,269,23,292"
ren,31.40924835205078,"104,288,187,294"
"ie,",30.41338348388672,"259,266,296,296"
we,39.14435958862305,"361,283,363,286"
:,8.6519622802734375,"436,290,440,293"
Pa,32.88299560546875,"469,271,612,296"
BOT,48.70205307006836,"122,269,315,384"
lin,49.40475082397461,"369,309,438,367"
eX,14.34613037109375,"492,282,597,358"
|,71.896270751953125,"371,332,374,349"
i,44.25518035888672,"730,339,735,340"
|,35.527069091796875,"54,368,56,370"
Ee,18.07494354248047,"85,326,121,397"
iy:,32.706878662109375,"186,364,245,393"
le,18.638702392578125,"367,344,586,402"
;,22.68914031982422,"704,370,707,375"
V,81.048065185546875,"115,395,160,448"
Ale,45.45060729980469,"186,396,316,445"
~,10.460128784179688,"384,433,386,435"
"¢,",27.84027099609375,"494,403,571,468"
RBS,26.93732452392578,"75,455,181,487"
<7,26.659706115722656,"299,446,369,490"
\,73.30943298339844,"350,442,371,504"
pee,19.9920654296875,"513,468,536,492"
ey,43.52842330932617,"618,469,658,501"
iA},30.31451416015625,"140,496,200,515"
',0,"476,495,483,508"
E,0,"515,497,520,512"
q,0,"742,496,745,500"
“ijt,31.0181884765625,"142,514,181,531"
inc,51.2690315246582,"392,519,408,530"
;,30.22252655029297,"96,551,98,555"
Ups,37.32073974609375,"140,514,207,562"
/f,0,"240,460,299,568"
T,61.12845993041992,"375,541,378,545"
del,30.69390106201172,"438,533,448,569"
fe,43.72172927856445,"512,550,520,557"
XN,36.674530029296875,"582,511,633,571"
—,39.24701690673828,"651,543,688,555"
Nc,25.815589904785156,"162,563,203,577"
‘Bp,25.788131713867188,"477,561,501,575"
7,59.0910758972168,"680,562,704,585"
A,14.126083374023438,"195,589,235,600"
|,79.57306671142578,"263,571,272,613"
if,62.00245666503906,"398,558,411,608"
