word,confidence,bbox
-,61.2017936706543,"0,0,18,28"
:,12.621620178222656,"827,0,829,57"
:|,64.21617126464844,"0,49,19,67"
VARSITY,96.44020080566406,"59,7,361,88"
DAY,95.9957275390625,"389,10,524,90"
AT,91.32379150390625,"545,11,637,92"
FAIR,91.32379150390625,"654,15,810,100"
e,62.67649459838867,"1,77,19,96"
A,62.725189208984375,"0,105,14,127"
e,89.324554443359375,"0,133,18,149"
—_—_,25.05066680908203,"294,135,355,162"
a,85.01402282714844,"0,160,20,178"
‘a,67.16485595703125,"0,181,21,206"
.,36.31068420410156,"258,192,267,200"
i{Columbia,43.302757263183594,"0,189,300,235"
and,96.255889892578125,"350,193,441,236"
Rolla,7.2030792236328125,"494,193,627,238"
State,67.80604553222656,"680,197,807,240"
O,14.363677978515625,"0,240,17,257"
?,0,"157,242,164,250"
i,17.007064819335938,"227,255,236,262"
‘,0,"324,256,333,263"
=!,41.115360260009766,"1,267,17,305"
Institutions,91.859649658203125,"117,251,421,298"
Meet,96.7458724975586,"454,256,575,300"
at,95.18658447265625,"597,264,644,300"
the,95.18658447265625,"669,259,748,302"
-,10.950660705566406,"0,320,18,364"
Missouri,96.20335388183594,"190,316,411,363"
Building.,95.93507385253906,"435,319,667,378"
:,60.11455154418945,"0,380,18,447"
oe,25.844696044921875,"297,413,565,422"
a,17.814453125,"0,460,16,471"
Missouri,94.1902084350586,"90,455,235,481"
university,96.2843017578125,"258,460,432,488"
day,95.86026763916016,"454,463,516,490"
at,95.86026763916016,"537,465,571,487"
the,96.15138244628906,"594,464,646,487"
World's,0,"670,465,803,487"
;,1.7169342041015625,"0,483,16,532"
Fair,95.61083984375,"58,490,134,515"
yesterday,96.9042739868164,"154,495,322,523"
proved,96.36795806884766,"342,499,458,524"
to,96.16832733154297,"483,501,513,523"
be,96.0409164428711,"536,501,572,523"
the,96.81009674072266,"595,500,648,523"
liveliest,96.6437759399414,"670,500,800,524"
nj,83.606689453125,"0,538,14,555"
event,25.695968627929688,"59,530,150,552"
that,96.64054870605469,"174,531,244,554"
has,96.5760498046875,"267,533,324,556"
disturbed,96.51655578613281,"347,534,509,559"
the,96.779510498046875,"533,537,586,560"
serenity,96.768646240234375,"610,538,746,563"
of,96.52311706542969,"770,538,803,560"
t|,38.930782318115234,"2,563,14,583"
the,96.597900390625,"60,563,112,587"
“Exposition,43.77931213378906,"164,566,348,594"
grounds,93.32102966308594,"397,573,535,596"
fer,44.73127365112305,"584,575,633,596"
several,85.691986083984375,"682,576,802,596"
“,0,"0,591,14,634"
menths.,84.81600189208984,"59,601,193,625"
Gver,89.56846618652344,"243,603,325,627"
1000,96.19905090332031,"355,605,424,629"
students,96.466156005859375,"451,609,595,632"
from,92.43157196044922,"636,610,718,632"
the,92.43157196044922,"750,611,803,632"
»,57.376094818115234,"0,648,14,663"
|,94.74869537353516,"30,631,46,677"
Missouri,94.74869537353516,"56,635,203,662"
university,96.1567153930664,"227,635,402,670"
at,96.1567153930664,"422,647,457,667"
Columbia,96.103790283203125,"478,645,641,669"
and,96.7113265991211,"662,647,723,669"
the,95.73516082763672,"748,648,800,669"
3,39.923709869384766,"0,670,15,693"
{|,54.56153869628906,"29,666,44,710"
school,93.14887237548828,"54,672,161,698"
of,95.977630615234375,"193,677,228,699"
mines,96.15520477294922,"259,679,358,702"
at,89.02632141113281,"390,682,424,703"
Rolla,89.02632141113281,"458,681,548,705"
reached,96.05802154541016,"582,684,714,706"
the,96.711029052734375,"747,684,799,706"
:,8.026802062988281,"0,696,14,743"
grounds,96.53679656982422,"55,711,192,735"
by,95.69830322265625,"223,712,262,738"
noon,95.69830322265625,"293,720,373,737"
and,93.86383056640625,"402,717,466,739"
until,87.44429016113281,"495,719,574,740"
the,88.86344146728516,"616,720,668,741"
gates,76.54368591308594,"709,722,798,745"
i,58.6270751953125,"3,748,12,769"
closed,95.0115737915039,"57,736,160,760"
at,81.35133361816406,"192,741,226,761"
night,81.35133361816406,"259,740,349,767"
"they,",94.19104766845703,"382,743,457,769"
made,94.19104766845703,"488,745,579,767"
themselves,95.94261932373047,"614,746,802,768"
f,67.69319915771484,"0,773,13,796"
known.,95.97142791748047,"56,762,180,787"
The,96.8497085571289,"218,766,282,789"
students,96.0542221069336,"301,769,446,792"
brought,90.56806182861328,"462,756,600,821"
their,93.00096130371094,"619,772,700,805"
foot-,92.401947021484375,"721,774,800,795"
.,71.93220520019531,"0,813,12,819"
|,68.363677978515625,"30,785,42,830"
ball,96.43758392333984,"57,789,118,813"
"team,",95.9931411743164,"142,793,234,816"
their,96.26373291015625,"258,794,339,818"
brass,96.50122833251953,"360,796,449,820"
