word,confidence,bbox
THE,96.756927490234375,"57,45,151,87"
ESKIMOS,96.50819396972656,"173,41,379,98"
ON,96.737060546875,"382,42,473,99"
THE,96.3924331665039,"483,43,575,88"
"PIKE,",52.45948791503906,"596,48,709,92"
A,96.63404083251953,"4,116,37,150"
Most,96.63404083251953,"63,117,158,150"
Interesting,96.33354949951172,"199,112,424,153"
Exhibit,93.969940185546875,"463,114,609,152"
of,95.99158477783203,"636,122,672,155"
the,95.99158477783203,"699,123,759,157"
Arctic,96.81471252441406,"86,159,208,193"
People,95.82513427734375,"237,157,365,198"
and,96.50315856933594,"395,158,467,190"
Their,93.3006362915039,"494,158,597,195"
Pe-,91.95906066894531,"624,164,682,197"
culiar,92.26934051513672,"189,202,304,235"
"Customs,",96.628662109375,"321,201,490,240"
Ete.,58.899723052978516,"506,202,580,238"
There,96.88159942626953,"38,252,136,275"
are,96.681488037109375,"158,256,211,272"
very,96.523162841796875,"233,256,306,275"
few,95.573211669921875,"328,249,386,270"
more,96.60420227050781,"410,254,492,270"
interesting,96.48236083984375,"516,251,688,281"
ex-,4.5428466796875,"712,264,775,283"
hibits,96.68101501464844,"9,288,103,311"
of,96.645355224609375,"129,288,160,311"
strange,96.07132720947266,"186,290,311,313"
people,96.43795013427734,"338,284,443,314"
than,96.09324645996094,"470,287,541,311"
that,96.83232879638672,"568,290,632,315"
of,96.043304443359375,"659,296,687,317"
the,96.043304443359375,"713,298,761,320"
rrr,31.350921630859375,"56,352,775,367"
