word,confidence,bbox
of,93.203125,"40,10,73,29"
Hies-Hoo,56.882667541503906,"97,10,248,33"
than,96.50285339355469,"272,14,347,36"
to,96.09630584716797,"371,16,401,36"
abuse,95.951019287109375,"422,15,519,39"
a,96.75042724609375,"540,23,560,40"
"cat,",95.24358367919922,"580,19,642,44"
no,96.42982482910156,"666,24,706,43"
mate,95.1720199584961,"722,18,818,55"
ter,96.44288635253906,"40,48,84,67"
what,96.34010314941406,"107,49,184,70"
it,96.34010314941406,"208,50,226,72"
may,96.45355224609375,"249,55,318,77"
attempt,96.36719512939453,"336,53,469,80"
to,96.30241394042969,"489,55,520,77"
do.,95.42704772949219,"537,54,583,78"
This,95.42704772949219,"617,54,693,81"
repri-,92.55348205566406,"706,54,807,92"
mand,96.226409912109375,"36,87,125,106"
was,96.64923095703125,"155,93,216,108"
made,96.22648620605469,"245,89,332,110"
by,95.93602752685547,"360,90,398,115"
Secretary,93.43425750732422,"424,90,588,119"
Watson,96.1850814819336,"616,93,744,120"
to,96.6379165649414,"769,97,805,121"
the,92.77631378173828,"35,124,84,141"
angry,95.3361587524414,"104,128,201,145"
"guest,",95.74711608886719,"222,128,320,149"
but,87.01103973388672,"343,126,394,147"
{t,76.60240936279297,"414,126,436,147"
was,96.94734191894531,"457,133,520,148"
of,96.1740951538086,"539,128,573,150"
no,96.3396987915039,"592,134,631,151"
avail.,76.9985580444336,"648,130,741,153"
No,96.2824935913086,"62,156,106,176"
guest,96.61859893798828,"129,162,214,180"
at,95.86772155761719,"240,161,269,179"
the,96.93721771240234,"297,160,348,181"
place,96.7994613647461,"370,161,456,186"
has,96.96431732177734,"479,162,536,185"
greater,90.27433013916016,"557,166,682,190"
privi-,90.27433013916016,"704,166,800,193"
"llege,",14.019638061523438,"11,186,102,217"
says,96.28380584716797,"128,201,200,216"
Mr.,93.60697174072266,"228,195,281,218"
"Watson,",96.32059478759766,"312,196,448,225"
than,95.01307678222656,"474,199,550,224"
the,95.01307678222656,"574,200,628,225"
corps,96.03215026855469,"650,207,742,233"
of,96.59037780761719,"762,202,799,231"
|,43.842044830322266,"10,224,13,250"
black,93.58927917480469,"30,224,115,254"
"cats,",96.31990814208984,"140,235,215,256"
which,96.123199462890625,"242,235,339,258"
is,95.89508056640625,"363,237,389,258"
made,96.61943054199219,"410,238,498,261"
up,95.561370849609375,"522,245,561,267"
of,93.284332275390625,"582,240,617,264"
cpontribu-,32.550933837890625,"637,243,795,269"
|,77.451812744140625,"8,255,13,297"
tions,94.24463653564453,"29,268,107,288"
from,93.1251220703125,"139,272,215,291"
Hoo-Hoos,88.98456573486328,"249,272,416,294"
in,95.78636169433594,"442,274,471,295"
all,95.41793060302734,"498,275,538,296"
parts,95.43016052246094,"568,278,656,301"
of,95.43016052246094,"680,278,716,301"
the,96.7257308959961,"741,279,796,304"
j,53.7156867980957,"9,301,11,312"
country.,95.73081970214844,"27,307,163,326"
At,95.9906005859375,"185,306,220,327"
present,95.9906005859375,"255,311,375,332"
there,96.30560302734375,"410,309,494,332"
are.,19.92340850830078,"524,316,578,334"
400,76.73957061767578,"608,312,656,336"
in,81.70219421386719,"678,313,709,338"
the,81.70219421386719,"740,314,794,339"
|,82.1378173828125,"7,313,11,397"
"corps,",82.372894287109375,"27,348,120,368"
They,95.753021240234375,"153,343,230,369"
