word,confidence,bbox
of,95.20209503173828,"20,24,50,45"
her,95.44145202636719,"64,23,112,44"
more,92.52919006347656,"127,29,197,45"
tim!d,47.344810485839844,"212,24,287,45"
"companions,",66.48432922363281,"302,25,476,48"
anxfously.,53.84040451049805,"491,24,636,47"
But,94.98307037353516,"46,55,96,76"
Miss,95.8504867553711,"120,56,182,75"
Alice,95.24920654296875,"203,56,275,77"
was,95.52568054199219,"306,61,360,77"
so,86.65258026123047,"390,61,421,77"
absorbed,95.20100402832031,"452,56,578,77"
in,71.0648193359375,"610,55,637,76"
watching,96.18140411376953,"20,88,152,110"
the,96.718536376953125,"169,89,214,110"
progress,88.79270935058594,"232,93,352,113"
of,95.53414154052734,"368,89,397,110"
the,95.98888397216797,"414,89,460,109"
battle,96.19087219238281,"476,88,561,109"
that,96.48653411865234,"578,88,638,109"
she,96.505706787109375,"20,120,67,140"
did,95.02339172363281,"81,120,123,140"
not,95.02339172363281,"137,123,181,141"
hear,95.57342529296875,"194,121,258,141"
the,96.28046417236328,"272,122,316,142"
question.,94.4541244506836,"329,121,456,144"
Ystiza,61.357887268066406,"45,151,133,173"
href.,0,"154,152,214,175"
by.a,70.13594055175781,"234,153,305,177"
succession,95.87757110595703,"326,154,472,176"
of,96.564849853515625,"490,153,520,175"
careful,96.5066146850586,"536,153,637,175"
athletic,90.83586120605469,"19,184,128,205"
dodges,96.51295471191406,"147,186,242,207"
behind,95.69270324707031,"262,185,354,206"
his,96.4031753540039,"376,186,416,206"
shield,67.92842864990234,"434,185,515,206"
and,95.30839538574219,"533,186,584,206"
by,95.30839538574219,"602,186,637,209"
his,93.25463104248047,"20,215,60,235"
siraicht,83.62406158447266,"79,216,190,237"
and,96.39974212646484,"207,217,258,237"
true,86.1053695678711,"276,220,334,237"
aim,86.33039855957031,"351,218,403,238"
at,96.51347351074219,"420,220,448,237"
"firing,",89.15510559082031,"467,217,550,240"
com-,91.75437927246094,"567,222,637,238"
pletely,46.4776611328125,"19,249,113,271"
won,96.14990234375,"127,254,182,269"
the,90.95440673828125,"196,249,240,269"
"baitla,",14.11859130859375,"252,249,342,270"
At,94.91582489013672,"43,281,77,300"
this,94.65750885009766,"98,281,151,301"
point,91.02568817138672,"172,283,243,304"
Miss,93.08064270019531,"265,282,329,302"
Rooseyelt’s,85.5599594116211,"349,282,508,303"
