word,confidence,bbox
a,3.0018234252929688,"0,18,656,27"
Exposition,90.41554260253906,"21,429,209,466"
Officials,89.19942474365234,"252,429,398,459"
",",49.73388671875,"425,458,426,463"
Have,58.2799072265625,"440,429,532,458"
Ar-,58.2799072265625,"573,427,629,456"
ranged,95.53531646728516,"58,477,178,511"
Many,93.397125244140625,"200,477,293,512"
Special,90.38512420654297,"313,477,438,513"
Amiuse-,68.689605712890625,"460,478,588,504"
ments,96.5369873046875,"115,527,219,552"
for,94.8973159790039,"237,525,288,552"
the,93.289093017578125,"307,525,362,554"
Visiters.,92.4670639038086,"382,523,533,552"
FRANCOIS,96.05184173583984,"21,690,211,728"
MAY,96.8672866821289,"239,692,319,729"
MAKE,96.54158782958984,"346,691,452,729"
FLIGHT.,95.4933090209961,"479,691,630,728"
Band,95.82456970214844,"20,866,109,894"
"Concerts,",95.22852325439453,"127,867,292,897"
"Recitals,",95.797760009765625,"308,866,462,898"
Football,89.141357421875,"480,866,628,894"
"Games,",96.69865417480469,"43,914,171,946"
Wild,96.0370864868164,"191,913,274,941"
West,95.6002426147461,"293,914,381,942"
and,90.55958557128906,"401,914,462,942"
Flower,96.25547790527344,"483,914,608,941"
Shows,92.98016357421875,"109,960,221,988"
Ineluded,90.58692932128906,"245,961,397,989"
in,90.48084259033203,"419,962,447,990"
Pro-,88.66773223876953,"472,962,541,989"
"gramme,",19.788368225097656,"250,1017,400,1046"
As,96.28478240966797,"47,1176,80,1197"
many,85.9912109375,"102,1181,178,1201"
spectal,80.39649963378906,"211,1178,305,1202"
feutures,35.05989074707031,"339,1179,452,1200"
are,95.95655822753906,"474,1184,516,1200"
on,96.44196319580078,"537,1185,568,1200"
the,96.81026458740234,"590,1178,633,1200"
World's,25.859527587890625,"24,1208,131,1230"
Fair,73.95955657958984,"158,1210,216,1231"
programme,96.02193450927734,"242,1217,400,1236"
for,95.1473388671875,"427,1213,466,1232"
to-day,96.75950622558594,"491,1213,578,1236"
as,96.82653045654297,"604,1217,633,1232"
on,95.5765380859375,"21,1246,51,1261"
any,93.55064392089844,"65,1247,115,1266"
other,95.81964111328125,"132,1242,206,1268"
day,96.16034698486328,"220,1245,267,1269"
