"","rowid","place_name","count","geo_address","scale","latitude","longitude"
"1",1,"United States",287,"Washington DC, USA","country",38.9071923,-77.0368707
"2",2,"Philippines",253,"Metro Manila, Philippines","country",14.6090537,121.0222565
"3",3,"New York",120,"New York, New York, USA","city",40.7127753,-74.0059728
"4",4,"Missouri",105,"Jefferson City, Missouri, USA","state",38.5767017,-92.1735164
"5",5,"Germany",76,"Berlin, Germany","country",52.5200066,13.404954
"6",6,"Washington DC",72,"Washington DC, USA","city",38.9071923,-77.0368707
"7",7,"Japan",58,"Tokio, Japan","country",35.6764225,139.650027
"8",8,"France",54,"Paris, France","country",48.856614,2.3522219
"9",9,"Chicago",51,"Chicago, Illinois, USA","city",41.8781136,-87.6297982
"10",10,"China",51,"Beijing, China","country",39.904211,116.407395
"11",11,"Mexico",43,"Mexico City, Mexico","country",19.4326077,-99.133208
"12",12,"United Kingdom",42,"London, UK","country",51.5072178,-0.1275862
"13",13,"Kansas",39,"Topeka, Kansas, USA","state",39.0473451,-95.6751576
"14",14,"Texas",32,"Austin, Texas, USA","state",30.267153,-97.7430608
"15",15,"Paris",30,"Paris, France","city",48.856614,2.3522219
"16",16,"California",27,"Sacramento, California, USA","state",38.5815719,-121.4943996
"17",17,"Ireland",25,"Dublin, Ireland","country",53.3498053,-6.2603097
"18",18,"Russia",25,"Moscow, Russia","country",55.755826,37.6173
"19",19,"Brazil",22,"Brasilia, Brazil","country",-15.7975154,-47.8918874
"20",20,"San Francisco",22,"San Francisco, California, USA","city",37.7749295,-122.4194155
"21",21,"Italy",20,"Rome, Italy","country",41.9027835,12.4963655
"22",22,"Ohio",20,"Columbus, Ohio, USA","state",39.9611755,-82.9987942
"23",23,"Canada",19,"Ottawa, Canada","country",45.4215296,-75.6971931
"24",24,"London",19,"London, UK","city",51.5072178,-0.1275862
"25",25,"Cocopah",18,"Cocopah Reservation","native_group",32.6213992,-114.7647516
"26",26,"Indiana",18,"Indianapolis, Indiana, USA","state",39.768403,-86.158068
"27",27,"New Orleans",18,"New Orleans, Louisiana, USA","city",29.9510658,-90.0715323
"28",28,"Austria-Hungary",15,"Vienna, Austria","country",48.2081743,16.3738189
"29",29,"Netherlands",15,"The Hague, Netherlands","country",52.0704978,4.3006999
"30",30,"Toronto",15,"Toronto, Canada","city",43.653226,-79.3831843
"31",31,"Alaska",14,"Juneau, Alaska, USA","state",58.3004933,-134.4201306
"32",32,"Belgium",14,"Brussels, Belgium","country",50.8476424,4.3571696
"33",33,"Illinois",14,"Springfield, Illinois, USA","state",39.7817213,-89.6501481
"34",34,"Kentucky",14,"Frankfort, Kentucky, USA","state",38.2009055,-84.8732835
"35",35,"Boston",11,"Boston, Massachusetts, USA","city",42.3600825,-71.0588801
