doc_id,file_format,first_page_indicator,title,day,month,year,newspaper_id,article_date,multipage_article,page_id,multipage_id,article_id
TSLR_1903_12_01_P7_001_01,.txt,TRUE,SOUTH DAKOTA'S BUILDING AT THE WORLD'S FAIR,1,12,1903,TSLR,12/1/03,checked,P7_001,_01,TSLR19031201P7_001
TSLR_1903_12_01_P7_001_02,.txt,FALSE,SOUTH DAKOTA'S BUILDING AT THE WORLD'S FAIR,1,12,1903,TSLR,12/1/03,checked,P7_001,_02,TSLR19031201P7_001
TSLR_1903_12_01_P7_001_03,.txt,FALSE,SOUTH DAKOTA'S BUILDING AT THE WORLD'S FAIR,1,12,1903,TSLR,12/1/03,checked,P7_001,_03,TSLR19031201P7_001
SLGD_1904_04_30_P2_002,.txt,NA,COCOPA INDIANS FROM OLD MEXICO ARRIVE,30,4,1904,SLGD,4/30/04,,P2_002,NA,SLGD19040430P2_002
SLGD_1904_04_30_P2_003,.txt,NA,LIFE-SAVING EXHIBIT NEARING COMPLETION,30,4,1904,SLGD,4/30/04,,P2_003,NA,SLGD19040430P2_003
SLGD_1904_04_30_P2_004,.txt,NA,"CUBAN SENATE VOTES $50,000 FOR FAIR EXHIBIT",30,4,1904,SLGD,4/30/04,,P2_004,NA,SLGD19040430P2_004
SLPD_1904_04_30_P2_001,.txt,NA,FRANCIS RUSHES MAN OUT OF THE PHOTO,30,4,1904,SLPD,4/30/04,,P2_001,NA,SLPD19040430P2_001
SLPD_1904_04_30_P2_002,.txt,NA,DOCKERY NOT ON PROGRAM,30,4,1904,SLPD,4/30/04,,P2_002,NA,SLPD19040430P2_002
SLPD_1904_04_30_P2_003,.txt,NA,TAFT CHEERED EN ROUTE TO THE FAIR,30,4,1904,SLPD,4/30/04,,P2_003,NA,SLPD19040430P2_003
SLPD_1904_04_30_P2_004_01,.txt,TRUE,"""MAN COULD BUILD CIVILIZATION AGAIN FROM THIS RECORD""",30,4,1904,SLPD,4/30/04,checked,P2_004,_01,SLPD19040430P2_004
SLPD_1904_04_30_P2_004_02,.txt,FALSE,"""MAN COULD BUILD CIVILIZATION AGAIN FROM THIS RECORD""",30,4,1904,SLPD,4/30/04,checked,P2_004,_02,SLPD19040430P2_004
SLPD_1904_04_30_P2_004_03,.txt,FALSE,"""MAN COULD BUILD CIVILIZATION AGAIN FROM THIS RECORD""",30,4,1904,SLPD,4/30/04,checked,P2_004,_03,SLPD19040430P2_004
SLPD_1904_04_30_P2_004_04,.txt,FALSE,"""MAN COULD BUILD CIVILIZATION AGAIN FROM THIS RECORD""",30,4,1904,SLPD,4/30/04,checked,P2_004,_04,SLPD19040430P2_004
SLPD_1904_04_30_P2_005,.txt,NA,BIGGEST CROWD IS HANDLED SMOOTHLY,30,4,1904,SLPD,4/30/04,,P2_005,NA,SLPD19040430P2_005
SLPD_1904_04_30_P2_006,.txt,NA,RARE ANTIQUITIES OF COLONIAL WAYS,30,4,1904,SLPD,4/30/04,,P2_006,NA,SLPD19040430P2_006
SLPD_1904_04_30_P2_007,.txt,NA,LADIES WELCOME MISS HELEN GOULD,30,4,1904,SLPD,4/30/04,,P2_007,NA,SLPD19040430P2_007
SLPD_1904_04_30_P4_004,.txt,NA,WORLD HAS NEVER SEEN LIKE OF IT,30,4,1904,SLPD,4/30/04,,P4_004,NA,SLPD19040430P4_004
SLPD_1904_04_30_P4_005,.txt,NA,THRONG AT GATES HANDLED EASILY,30,4,1904,SLPD,4/30/04,,P4_005,NA,SLPD19040430P4_005
SLPD_1904_04_30_P4_006_01,.txt,TRUE,SECRETARY OF WAR LAUDS PRESIDENT'S POLICY IN PHILIPPINES EXPOSITION,30,4,1904,SLPD,4/30/04,checked,P4_006,_01,SLPD19040430P4_006
SLPD_1904_04_30_P4_006_02,.txt,FALSE,SECRETARY OF WAR LAUDS PRESIDENT'S POLICY IN PHILIPPINES EXPOSITION,30,4,1904,SLPD,4/30/04,checked,P4_006,_02,SLPD19040430P4_006
SLPD_1904_04_30_P4_006_03,.txt,FALSE,SECRETARY OF WAR LAUDS PRESIDENT'S POLICY IN PHILIPPINES EXPOSITION,30,4,1904,SLPD,4/30/04,checked,P4_006,_03,SLPD19040430P4_006
SLPD_1904_04_30_P4_006_04,.txt,FALSE,SECRETARY OF WAR LAUDS PRESIDENT'S POLICY IN PHILIPPINES EXPOSITION,30,4,1904,SLPD,4/30/04,checked,P4_006,_04,SLPD19040430P4_006
SLPD_1904_04_30_P4_006_05,.txt,FALSE,SECRETARY OF WAR LAUDS PRESIDENT'S POLICY IN PHILIPPINES EXPOSITION,30,4,1904,SLPD,4/30/04,checked,P4_006,_05,SLPD19040430P4_006
SLPD_1904_04_30_P4_006_06,.txt,FALSE,SECRETARY OF WAR LAUDS PRESIDENT'S POLICY IN PHILIPPINES EXPOSITION,30,4,1904,SLPD,4/30/04,checked,P4_006,_06,SLPD19040430P4_006
SLPD_1904_04_30_P4_007,.txt,NA,ALASKA SHOWS HER TOTEM POLES,30,4,1904,SLPD,4/30/04,,P4_007,NA,SLPD19040430P4_007
SLPD_1904_04_30_P4_008,.txt,NA,FAIR GUESTS ARE BRINGING TRUNKS,30,4,1904,SLPD,4/30/04,,P4_008,NA,SLPD19040430P4_008
TSLR_1904_04_30_P1_004,.txt,NA,FLAGS TO UNFURL WHEN PRESIDENT PUSHES ,30,4,1904,TSLR,4/30/04,,P1_004,NA,TSLR19040430P1_004
