"","article","word","wordbefore","wordafter"
"1","SLGD_1904_04_30_P1_001_02.txt","pramas","gates","ration"
"2","SLGD_1904_04_30_P1_001_02.txt","dollarsof","millions","expenditure"
"3","SLGD_1904_04_30_P1_001_02.txt","aill","notables","nations"
"4","SLGD_1904_04_30_P1_001_03.txt","foir","machinery","breparation"
"5","SLGD_1904_04_30_P1_001_03.txt","breparation","foir","expenditure"
"6","SLGD_1904_04_30_P1_001_03.txt","loufsianapurchase","gates","thrown"
"7","SLGD_1904_04_30_P1_001_03.txt","ng","exercises","formal"
"8","SLGD_1904_04_30_P1_001_03.txt","ffags","unfurling","palaces"
"9","SLGD_1904_04_30_P1_001_04.txt","taft","william","escorted"
"10","SLGD_1904_04_30_P1_001_04.txt","pu","prince","lan"
"11","SLGD_1904_04_30_P1_001_04.txt","lan","pu","heir"
"12","SLGD_1904_04_30_P1_001_04.txt","jefif","escorted","guard"
"13","SLGD_1904_04_30_P1_001_04.txt","dc","washington","bress"
"14","SLGD_1904_04_30_P1_001_04.txt","bress","dc","tton"
"15","SLGD_1904_04_30_P1_001_04.txt","tton","bress","flags"
"16","SLGD_1904_04_30_P1_001_04.txt","wijbe","flags","simt"
"17","SLGD_1904_04_30_P1_001_04.txt","simt","wijbe","furled"
"18","SLGD_1904_04_30_P1_001_04.txt","iigam","air","water"
"19","SLGD_1904_04_30_P1_001_04.txt","semicircle","distributed","monument"
"20","SLGD_1904_04_30_P1_001_04.txt","degraw","front","eastern"
"21","SLGD_1904_04_30_P1_001_04.txt","representa","press","tive"
"22","SLGD_1904_04_30_P1_001_04.txt","tive","representa","returned"
"23","SLGD_1904_04_30_P1_001_04.txt","columbian","signaling","chicago"
"24","SLGD_1904_04_30_P1_001_04.txt","chicago","columbian","arrangements"
"25","SLGD_1904_04_30_P1_001_04.txt","heve","arrangements","conveying"
"26","SLGD_1904_04_30_P1_001_04.txt","utdoors","monies","notables"
"27","SLGD_1904_04_30_P1_001_04.txt","gronmdemocrat","monument","include"
"28","SLGD_1904_04_30_P1_001_04.txt","dr","rev","frank"
"29","SLGD_1904_04_30_P1_001_04.txt","gunsaulus","frank","chicago"
"30","SLGD_1904_04_30_P1_001_04.txt","chicago","gunsaulus","addresses"
"31","SLGD_1904_04_30_P1_001_04.txt","ll","president","francis"
"32","SLGD_1904_04_30_P1_001_05.txt","nationel","carter","commission"
"33","SLGD_1904_04_30_P1_001_05.txt","burnham","senator","hamp"
"34","SLGD_1904_04_30_P1_001_05.txt","hamp","burnham","shire"
"35","SLGD_1904_04_30_P1_001_05.txt","minneso","tawney","commissioner"
"36","SLGD_1904_04_30_P1_001_05.txt","mexi","nuncio","harriman"
"37","SLGD_1904_04_30_P1_001_05.txt","harriman","mexi","york"
"38","SLGD_1904_04_30_P1_001_05.txt","taft","war","hymn"
"39","SLGD_1904_04_30_P1_001_05.txt","ence","hymn","edmund"
"40","SLGD_1904_04_30_P1_001_05.txt","siedman","edmund","breaking"
"41","SLGD_1904_04_30_P1_001_05.txt","inthe","visitors","city"
"42","SLGD_1904_04_30_P1_001_05.txt","allo","closed","employes"
"43","SLGD_1904_04_30_P1_001_05.txt","oclock","remain","tonight"
"44","SLGD_1904_04_30_P1_001_05.txt","ceys","gather","directors"
"45","SLGD_1904_04_30_P1_001_05.txt","tion","directors","escort"
"46","SLGD_1904_04_30_P1_001_05.txt","foligwing","plaza","preserved"
"47","SLGD_1904_04_30_P1_001_05.txt","sousas","scouts","band"
"48","SLGD_1904_04_30_P1_001_05.txt","offi","band","cer"
"49","SLGD_1904_04_30_P1_001_05.txt","cer","offi","united"
"50","SLGD_1904_04_30_P1_001_05.txt","exposi","directors","tion"
"51","SLGD_1904_04_30_P1_001_05.txt","tion","exposi","national"
"52","SLGD_1904_04_30_P1_001_05.txt","louls","plaza","thefollowing"
"53","SLGD_1904_04_30_P1_001_05.txt","thefollowing","louls","observed"
"54","SLGD_1904_04_30_P1_001_05.txt","weils","guard","band"
"55","SLGD_1904_04_30_P1_001_05.txt","maj","army","hammond"
"56","SLGD_1904_04_30_P1_001_05.txt","hammond","maj","committee"
"57","SLGD_1904_04_30_P1_001_05.txt","cnts","govern","assemble"
"58","SLGD_1904_04_30_P1_001_05.txt","innes","guard","band"
"59","SLGD_1904_04_30_P1_001_05.txt","capt","army","king"
"60","SLGD_1904_04_30_P1_001_05.txt","nes","territories","arrival"
"61","SLGD_1904_04_30_P1_001_06.txt","sousas","aids","band"
"62","SLGD_1904_04_30_P1_001_06.txt","exyosition","officials","governors"
"63","SLGD_1904_04_30_P1_001_06.txt","enf","guards","tering"
"64","SLGD_1904_04_30_P1_001_06.txt","tering","enf","parade"
"65","SLGD_1904_04_30_P1_001_06.txt","po","prince","lun"
"66","SLGD_1904_04_30_P1_001_06.txt","lun","po","party"
"67","SLGD_1904_04_30_P1_001_06.txt","adna","army","chaffee"
"68","SLGD_1904_04_30_P1_001_06.txt","chaffee","adna","escorted"
"69","SLGD_1904_04_30_P1_001_06.txt","taft","william","representing"
"70","SLGD_1904_04_30_P1_001_06.txt","eavalry","troops","force"
"71","SLGD_1904_04_30_P2_001.txt","phlacéswork","accomplished","continue"
"72","SLGD_1904_04_30_P2_001.txt","iast","completed","remnant"
"73","SLGD_1904_04_30_P2_001.txt","thé","remnant","roadways"
"74","SLGD_1904_04_30_P2_001.txt","proceting","night","bic"
"75","SLGD_1904_04_30_P2_001.txt","bic","proceting","mg"
"76","SLGD_1904_04_30_P2_001.txt","mg","bic","ot"
"77","SLGD_1904_04_30_P2_001.txt","ot","mg","aay"
"78","SLGD_1904_04_30_P2_001.txt","aay","ot","grounds"
"79","SLGD_1904_04_30_P2_001.txt","overthe","grounds","grounds"
"80","SLGD_1904_04_30_P2_001.txt","seatteréd","grounds","busy"
"81","SLGD_1904_04_30_P2_001.txt","superinten","progress","ents"
