"","doc_id","first_page_indicator","title","day","month","year","newspaper_id","article_date","multipage_article","page_id","multipage_id","article_id","text"
"1","SLGD_1904_04_30_P1_001_01.txt",TRUE,"GREATEST WORLD'S FAIR OPENS ITS GATES TO-DAY",30,4,1904,"SLGD","4/30/04","checked","P1_001","_01","SLGD19040430P1_001","GREATEST WORLD'S FAIR OPENS ITS GATES TO-DAY. "
"2","SLGD_1904_04_30_P1_001_02.txt",FALSE,"GREATEST WORLD'S FAIR OPENS ITS GATES TO-DAY",30,4,1904,"SLGD","4/30/04","checked","P1_001","_02","SLGD19040430P1_001","Four Years of Pramas ration and Millions of Dollarsof Expend- iture Crowned by the End -== Notables from AIll Nations. |  PRESIDENT ROOSEVELT WILL START MACHINERY "
"3","SLGD_1904_04_30_P1_001_03.txt",FALSE,"GREATEST WORLD'S FAIR OPENS ITS GATES TO-DAY",30,4,1904,"SLGD","4/30/04","checked","P1_001","_03","SLGD19040430P1_001","After foir years of breparation and. the expenditure of of dollars, the gates of the Loufsiana\Purchase Exposition will be thrown open to the public this morn- ing. The exercises, p ng the formal act of unfurling the ffags and opening the exhibit palaces” will be spectacular and elaborate. They will be enacted at the Louisiana Purchase monument, in the heart of the Fair and facing the Grand Cascades, the most beautiful panoramic view in the "
"4","SLGD_1904_04_30_P1_001_04.txt",FALSE,"GREATEST WORLD'S FAIR OPENS ITS GATES TO-DAY",30,4,1904,"SLGD","4/30/04","checked","P1_001","_04","SLGD19040430P1_001","Exposition. There will be assembled the representatives of the nations of the earth, state and local dignitaries and distinguished speakers and personages from all parts of the country. At the crowning moment President Roosevelt, in the White House at Washington, will touch the button and start the machinery of the Fair.  The programme has been so arranged that the officials who have made the Fair a pos- sibility will be the first to arrive at the monument. The other dignitaries will fol- low. Meanwhile there will be an elaborate programme of music by the bands stationed on platforms near. Secretary of War Wil- liam H. Taft will be escorted to the monu- ment by a platoon of cavalry. Prince Pu Lan, the heir apparent to the Chinese throne, will also arrive escorted by two Jef- if guard outriders. .  President Will Press Button. |  Ex 'y at noon, during the singing of the national anthem, President Roosevelt at Washington, D.-C., will Bress the tton and 1020 flags wi.jbe simt furled to the air, and {iigam Water will gush from the great Cascades and the World’s Fair will be on.  The spectators who will assemble to wit- ness the ceremonies will be distributed in a semicircle about the monument. The ad- dresses will be made from the rostrum of the Louisiana monument; the speakers facing the north. The notables and distin- guished guests will be seated immediately in front.  P. V. DeGraw, Eastern press representa-  tive for the World’s Fair, returned yester- day from Washington, where he completed arrangements fer the reception of the news~ of the opening at the White House. At ex- actly high noon President Francis will press the gold operator’s key which will signal the operator stationed In the east room of the White House that everything is in read- iness.  The key used by President Roosevelt in signaling the opening is the same used in the opening of the Columbian exposition at Chicago. The same arrangements which heve been made for conveying the first tel- egraphic communications to Washington from the president’s stand have also been made in Festival hall, in case the weather should make it impossible to hold the cere-  monies »utdoors.  Many Notables Will Speak. _ The programme to be carried out at the Louisiana Purchase monument, as given in the Gronm-Democrat yesterday, will include -an invocation by Rev. Dr. Frank Gunsaulus | of Chicago and addresses by President LL "
"5","SLGD_1904_04_30_P1_001_05.txt",FALSE,"GREATEST WORLD'S FAIR OPENS ITS GATES TO-DAY",30,4,1904,"SLGD","4/30/04","checked","P1_001","_05","SLGD19040430P1_001","Francis, Director of Exhibits Skiff, Mayor Wells, President Carter of the nationel com- mission, Senator Burnham of New Hamp= - shire, Representative Tawney of Minneso Commissioner General Nuncio of Mexi  H. Harriman of New York and Sec  War Taft. The Exposition hymn,  ence Edmund Siedman, will also be r.  That the Fair will open with a r breaking attendance is assured by the crowd of visitors in-the city and the f that every business institution practical of the city will be closed in order to allo . its employes an opportunity to visit the Ex- ~ position. The gates will open at the usual hour this morning, but workingmen’s passes will not be honored after 8:30. After that hour work on the grounds will be suspended. The gates will remain open until 11 o’clock to-night.  Where Notables Will Gather. :  The ceys and directors of the tion  h escort, to the plaza of St. Louis. The foligwing order will be preserved: Detach- - ment of Jefferson guards, Philippine scouts’ - band, Philippine scouts, Sousa’s band, offi cer United States army, Col. HE. A. Kings-— bury; officers and directors of the Exposi-~ tion, national commission, board of lady managers, - “Representatives of foreign governments will assemble in the Hall of Congresses 4 : 9:15 a.m. They will walk, with escort, 5 the place assigned them for. the opening ceremonies on the plaza of St. Louls. The- following order will be observed: :  Detachment of Jefferson guard, Weil's band, officer, United States army, Maj. Hammond; committee on foreign relations of the board of directors and secretary of the committee, director of exploitation and commissioners of the Exposition to foreign countries, commissioners and representa- tives of the foreign countries in customary — order. :  Representatives of state and territorial — govern: .cnts will assemble at 9:15 a. m. at — the United States government building. - From there they will walk, under escort, to the place assigned them for the opening ceremonies on the plaza of St. Louis. :  The following order will be observed: Detachment Jefferson guard; Innes* band; ~ officer United States army, Capt. King; committee on legislation and state and — territorial exhibits of the board of directors — and the chief of the department of domestic exploitation; United States government — board; commissioners and representatives — of state and territories. nes "
"6","SLGD_1904_04_30_P1_001_06.txt",FALSE,"GREATEST WORLD'S FAIR OPENS ITS GATES TO-DAY",30,4,1904,"SLGD","4/30/04","checked","P1_001","_06","SLGD19040430P1_001","ORDER OF ARRIVAL AT PURCHASE MONUMENT.  Arriving at the Louisiana Purchase monument, prior to the opening ceremonies, the officials and guests will be conducted to their seats by Gen. Edmund Rice, grand marshal, and his aids, while Sousa’s band, taking its position in the East band  stand, will offer a special programme. The order of arrival will be as follows:  President Francis and officials of the Exyosition.  Governors and commissioners of the states and territories.  Foreign commissioners,  City officials, comprising mayor, council, house of delegates, officers and members of board of education and judges of the several courts, escorted by committees of Ex- position directors and preceded by a band and a detachment of Jefferson guards, en- f tering by the parade gate.  . Prince Po Lun and party in carriages enter by parade gate, escorted by committee of Exposition directors.  Chief of Staff United States army Adna R. Chaffee, escorted by Gen. John C. Bates, official committee and troop of United States cavalry.  Congressional delegates, escorted by committee and troop of cavalry.  Secretary of War William H. Taft, representing the President of the United States, escorted by committee and two troops of eavalry. "
"7","SLGD_1904_04_30_P2_001.txt",NA,"FAIR IS SWEPT CLEAN",30,4,1904,"SLGD","4/30/04","","P2_001",NA,"SLGD19040430P2_001","7 ‘ Force of 15,000 Men, Working All Night, Put Grounds in Shape.  Much Also Accomplished in Exhibit  Phlacés—Work: to Continue | Until Noon. ; we rene  A night force of 15,000 men, working until | the sun broke over the Exposition this morning, completed the iast remnant of work on thé roadways and avenues of the white city. The night proceting bic mg  e World’s Fair was y. °  1s ot aay at the Exposition grounds. a  over.the grounds were seatteréd groups °,  busy men; lights shone forth from get A every part of the big picture where be was in progress, and superinten ents my up a night vigh. driving .over, the groun at intervals, <2 ein and noting the prog-  wor ;  ""efgnae §. Taylor, director of works. and R  H. Phillips, chief civil eng ener, romaine  at their offices in the Administration bui ae  ing urtil ncarly midnight, keeping cipealy in touch with the development of the work.  Up to midnight, with the exception of some  small sections of roadwork which pemeincy  nnfinished, the thirty-four miles of asphalt paving and gravel stone walks had about reached completion. Much Work Accomplished.  the exhibit palaces an army of men wirkas teeuknoot the night, accomplishing an amount of work that might be attributed to the labor of several days-- Hundreds ¢t exhibits were installed in the various build-  ings between 6 Mg last evening and 4  y this morning.  . rere iy this number of laborers on the  grounds and buildings, twenty-five teams  and 20) men went over the grounds during the night, gathering up every vestige of refuse and debris left by the last hours of work. A force of men will be employed in the exhibit palaces this morning up to noon.  At this hour the buildings will have been  swept, cleaned and dusted and ready to  throw open to the public, on the complétion of the opening ceremonies.  Ceremonies Symbolical of the Holy  Land Will Mark Event.  i of the gates of Jerusalem on he Worlds Fate grovnae will be celebrat- ed this afternoon at 4 o’clock by_the aa of a cannon from the Tower of David, fol- lowed by the arr te f of.the American and Turkish flags, All the Jews will assemble -at the call to prayer from the Minarette, where Rev. Dr. J. W. Lee, pastor of the St. John’s Southern Methodist church, will invoke the divine blessing and deviler an address.  Ceremonies rape of Jerusalem by na- tives from the Holy Land will be conducted by Mme. Von Finkelstein Mountford, Rev. John Haddad and the choir from the Eastern Christian church will read from the prayer book and chant and_ burn_ incense. This will be followed by the ‘“Fatihah,”’ which is the confession of faith, chant and prayer by Mohammedan Imam and his con- gregation. h  An Israelite native of Jerusalem will blow the oe and sing in Hebrew, “‘Lift up your heads, O ye gates.’ This will be fol- lowed by the national Ottoman 22 doy by the inhabitants of Jerusalem. T nm hee will conclude with “The ox  ity,’ sung by the St. John’s M. E. chure choir. ‘  Final arrangements for the conduct of the cavalry troops which will escort Secretary of War William H. Taft. and Gen. A. R. Chaffee to the World’s Fair grounds ‘this morning were announced at: Jefferson bar- racks yesterday. Troops I, K, L.and M of the 4th cavalry will leave the barracks at 5:30 o'clock this ery tes r ne com- mand of Lieut. Col; Sampre ‘Fountain. | ’Two of the troops will proces othe resi- dence of Daniel C. Nugent, 3701 Westmin- ster place, where Judge Tdaft’s escort will be formed at 8:15. Anothér troop will escort Gen. Chaffee to the “Exposition grounds from Gen. Bates’ residence, 4380 -MePherson avenue. The fourth pen 7 will be detailed to the congressional committee.  Troops I, K, L and M are composed of 47, 47, 48 and 44 men; rospecsvery. All will be in the regulation full dress, with equip- ments complete. One sergeant and two pri- vates will be detailed to guard the colors 0 the secretary of war.  Local and Visiting Detectives Had a Busy Friday.  Chief of Detectives Desmond’s men and visiting detectives were kept busy yester- day age 8 ‘pickpockets and general thieves who havé been attracted to the city by the World's Fair opening. The men were locked up at the various districts to be held for at least twenty hours, when, if no charge is found against them, they will be sent to police court for idling. Among the pick-ups Fete eee was Robert Miller, said to be a pickpocket and thief a4 ternational a a ag He was arrested in a_ crowd at Seventh and Market streets by Detective John Shevlin of Hot Springs, Ark., and Detective Markham.  More Filipinos Coming.  A band of Saves Sit, Moros and nt et bos, the most savage tribes in the Phili pies. is to arrive bs ie The natives will  e given shelter in the Cuartel for the pres- ent; and later will dwell in villages on Ar- rowhead lake. The Igorrotes will move into their wees to-day.  Dr. W. P. Wilson, chairman of the Phfi- Fees Exposition board, announced yester-  y that the Philippine exhibit would +0t be opened to the public for some days, as the rains and snow had delayed the work of completion. Visitors will be admitted to ps Se but not to the buildings or vyil- ages. -  Roads to Carry Extra Coaches.  None of the railroads reaching St. Louts will run excursion trains to-day, but the | ; regular service will be bas tere with extra Pig eg for the accom ion of visitors to the World's Fair opening. Each of the regular trains will be supplied with from two to five extra coaches and reduced rates are offered for the round tg 7 all the roads. A large advance sale of tickets from bret reported, and a record-breaking sroaa  ed, and a record-t in  is expected by the railroad men. «f 3 Cablegram from France. i  The following cablegram from the mh dent of the municivat councft of Batis, I France, was received by President Francis’| ¢ yesterday: “The city of Paris takes part | 1  the grand manifestation of human i 7 ity. Her representatives regret not to 4st able to assist in the inatguration ceremo- | ¢ nies, but ex to visit you later, In their | t name 1 send you the expression of the most | ‘ cordial sympathy. DEVILLE, President.” |} 8  SS 12 One Entrance to Be Closed. i:  All of the entrances to the Worid’ .: grounds will be grenes par whe the c ception of The Pi which it was | ¥  found poone to complete in time for the opening. work on the subway near | t the approach to be > entrance has the | < bg + BEE. ished state, and ft will | r of next week. ad ssscthescs i = -——— t Miss Gould Due To-Day. é ss Helen M. Gould and a if ER Ny WEE The pa wil, proceed at onte “A Par A BRS a paaeaat® Abr yaaning served. : : Socuntenmeuneeeneteeee 4 = Pre-Exposition Dlumination. gs ara aa is - 3 ings and eared as” i nightly during the coming oe ial —_ Sworn in as City Police. F Two hundred members of . goons were sworn ye Ae oy é President W. G. Stue aed’ tome tary Ward. : $ ; * _—--———————— Ceremonies begin early ‘the opening of the great World's Fair— 80. The season at Forest Park ’ begins early—April 30 & "
"8","SLGD_1904_04_30_P2_002.txt",NA,"COCOPA INDIANS FROM OLD MEXICO ARRIVE",30,4,1904,"SLGD","4/30/04","","P2_002",NA,"SLGD19040430P2_002","Seer or eee % HUDDLE ABOUT OAMP FIRE THROUGHOUT LONG DAY— VILLAGE NOT READY. , Thirty-four Cocopa Indians, survivors of. a. fast-disappearing tribe native to the vicin- ity of Sonora, in Old Mexico, arrived at the World’s Falr grounds yesterday noun, and were taken to the Indian building. It was found that po proper houses had been erected for their reception, and for the greater part of the afternoon the Indians” were compelied te remain huddled about a) camp fire in the foe. This prereniy ) caused them no evance, however. The women, wrapped in their bright woolen an? calico earments, sat on the aroged. tailor | fashion. The naked infants rolled bitssfully 8 ete The mén were content to stand. m= the distance. gazing abstrgctly away At éo it was deemed time for su Fagen tage Seite ar eae reat and id upon a block. 3 ap husks name, then procured m short & e and pro- gy yg the meat from the Then he laid the meek spon the smoldering SS fits taaite sate Sertetioes be tribe — a eirele™ v the fire and watched Only. when Pa natok "" . Meat. ~~ the jJust-& "" om ps bg was s ‘ ‘was por- tena h iat with large The nterpreter bX of the Indiana explained considerable difficulty had Reid “Eaain Pig mest treaS she” nck ans ¢ men wear their hair fonz over their shoulders. Last night the party | wars provided with bede in the Indian a3 —. « this morning pre tions will be ma for’ the erection oF the brush Squeee in wnict, ther will live. ! were quartered in pk pot = po Fg Rad, ; ; =o : ——_ Paileie dv Costume. Chief Pike attraction, "
"9","SLGD_1904_04_30_P2_003.txt",NA,"LIFE-SAVING EXHIBIT NEARING COMPLETION",30,4,1904,"SLGD","4/30/04","","P2_003",NA,"SLGD19040430P2_003","LIFE-SAVING EXHIBIT WRECKING MAST WILL BE ERECT- ED T0-DAY—DATE FOR PER- FORMANCES NOT SET.  . The wrecking mast in the center of what | is to be ‘the pond in front of the United States treasury life-saving exhjbit, will be erected to-morrow morning.. It is afound this mast that the life-saving crew will ex- hibit age 4 feats. Many of the men who compose the Ly geadn W ehag at the World's Fair, appeared in a similar capacity at the Buffalo and Chicago expositions. One of the favorite tricks of the Bie eevin’ crews at those expositions was to dress one of their miost expert swimmers up as a “Rube,” whse role it is to fall in the pond and almost drown. The “Rube,” trained to remain under water for an unusually a one, is finally reseved. rolied in a barre and taken to the bata oy station, where he calmly “wakes” up and strips himself of all but the swimmer’s tights, which he wears underneath his countrified garntents. Exhibitions by the as agetio | service are to begin soon Fa? aie ge 4 Capt Pg rh . McLellan, in ¢ é, can ne pong 4 fix the day. Performances w i beatn at 2:80 o'clock every afternoon. It include the Following. Simscascn~ tions: Launch and drill with the surfboat; demonstration’ of the method of rescuing | earn nen pA RR Sr ne RR POR Cet RE "
"10","SLGD_1904_04_30_P2_004.txt",NA,"CUBAN SENATE VOTES $50,000 FOR FAIR EXHIBIT",30,4,1904,"SLGD","4/30/04","","P2_004",NA,"SLGD19040430P2_004","$50,000 FOR FAIR EXHIBIT. Srrorat CABLEGRAM TO THE GLoRE-Democnat. HAVANA, April 29.—The Senate to-day voted $50,000 to eect the extra expenses of Cuba at the Louisiana Purchase posi- thon. The House of Representatives made a4 futile attempt to meet. The Liberals re- fused to agsist in making a gars tgp be- cause the Moderate majority of the com- mittee on credentials intended to report adversely on the claims of some of the Liberal candidates. Some of the Moderate senators are attempting to induce the Senate to partly undo the adverse vote on the four recent appointments of judges of the supreme court. Friends of the gov- ernment deny that Senor Zaldo, minisler of justice, has made any pekge-set to make ap- ipaimasats of judges to assist = friends, ‘hey say that the action of the Senate in refusing to confirm the nominations was prompted hy personal animosity. The op- popuion senators hold the government has “i aved unfairly to the former chief jus- ee. Marager Pa eys Be of the peigened ot om ' pany says tha company p 3,000,- boo buscoes of bananas ffom Cuba this year. However, the company does not look to Cuba as a future source of a large sup- ply, as its latituds is too high. To Entertain Press Parliament. Completed arrangements for the enter- tainmeni to be given the byes ig tS press par- Iiament on the afternoon of May 21 were ward, chalries Of the general pre Cox ‘ward, chairman © gener fom- mittee. The entertainment will take the form of a reception and a Dr.-Lewald of the German ge! Se eens erial commission has loaned the beautiful G n ment a Gee for thé occasion. The Bait band SSaalges the music. Gen: mmissioner ht of the Italian commission will loan sh squad of Italian marines which have re- c a areie in St. Louis te do quand duty at. building. A number of pretty wall as dainty daiiods toe fey tin aae as hay Sy acer the Japanese and images od uses, Pd sérye téa dur- = Ba afternoon, atti in their native Nearly 1500 invitations will be issued. The fronts for the Slscastt ate aie Bevig men r the affair are Mrs. g Francis and Mrs. Phillip N. Moore. Soren ate ea : Pike Parade. : A parade of all nations will be héld on World’s Fair ig aes The ‘ Park Highlands Fair opens—April ‘ , i "
