"","doc_id","first_page_indicator","title","day","month","year","newspaper_id","article_date","multipage_article","page_id","multipage_id","article_id","text"
"1","SLGD_1904_04_30_P1_001_01.txt",TRUE,"GREATEST WORLD'S FAIR OPENS ITS GATES TO-DAY",30,4,1904,"SLGD","4/30/04","checked","P1_001","_01","SLGD19040430P1_001","greatest worlds fair opens its gates today "
"2","SLGD_1904_04_30_P1_001_02.txt",FALSE,"GREATEST WORLD'S FAIR OPENS ITS GATES TO-DAY",30,4,1904,"SLGD","4/30/04","checked","P1_001","_02","SLGD19040430P1_001","four years of pramas ration and millions of dollarsof expenditure crowned by the end    notables from aill nations    president roosevelt will start machinery "
"3","SLGD_1904_04_30_P1_001_03.txt",FALSE,"GREATEST WORLD'S FAIR OPENS ITS GATES TO-DAY",30,4,1904,"SLGD","4/30/04","checked","P1_001","_03","SLGD19040430P1_001","after foir years of breparation and the expenditure of of dollars the gates of the loufsianapurchase exposition will be thrown open to the public this morning the exercises p ng the formal act of unfurling the ffags and opening the exhibit palaces will be spectacular and elaborate they will be enacted at the louisiana purchase monument in the heart of the fair and facing the grand cascades the most beautiful panoramic view in the "
"4","SLGD_1904_04_30_P1_001_04.txt",FALSE,"GREATEST WORLD'S FAIR OPENS ITS GATES TO-DAY",30,4,1904,"SLGD","4/30/04","checked","P1_001","_04","SLGD19040430P1_001","exposition there will be assembled the representatives of the nations of the earth state and local dignitaries and distinguished speakers and personages from all parts of the country at the crowning moment president roosevelt in the white house at washington will touch the button and start the machinery of the fair  the programme has been so arranged that the officials who have made the fair a possibility will be the first to arrive at the monument the other dignitaries will follow meanwhile there will be an elaborate programme of music by the bands stationed on platforms near secretary of war william h taft will be escorted to the monument by a platoon of cavalry prince pu lan the heir apparent to the chinese throne will also arrive escorted by two jefif guard outriders   president will press button    ex y at noon during the singing of the national anthem president roosevelt at washington dc will bress the tton and 1020 flags wijbe simt furled to the air and iigam water will gush from the great cascades and the worlds fair will be on  the spectators who will assemble to witness the ceremonies will be distributed in a semicircle about the monument the addresses will be made from the rostrum of the louisiana monument the speakers facing the north the notables and distinguished guests will be seated immediately in front  p v degraw eastern press representa tive for the worlds fair returned yesterday from washington where he completed arrangements fer the reception of the news of the opening at the white house at exactly high noon president francis will press the gold operators key which will signal the operator stationed in the east room of the white house that everything is in readiness  the key used by president roosevelt in signaling the opening is the same used in the opening of the columbian exposition at chicago the same arrangements which heve been made for conveying the first telegraphic communications to washington from the presidents stand have also been made in festival hall in case the weather should make it impossible to hold the cere monies utdoors  many notables will speak  the programme to be carried out at the louisiana purchase monument as given in the gronmdemocrat yesterday will include an invocation by rev dr frank gunsaulus   of chicago and addresses by president ll "
"5","SLGD_1904_04_30_P1_001_05.txt",FALSE,"GREATEST WORLD'S FAIR OPENS ITS GATES TO-DAY",30,4,1904,"SLGD","4/30/04","checked","P1_001","_05","SLGD19040430P1_001","francis director of exhibits skiff mayor wells president carter of the nationel commission senator burnham of new hamp  shire representative tawney of minneso commissioner general nuncio of mexi  h harriman of new york and sec  war taft the exposition hymn  ence edmund siedman will also be r  that the fair will open with a r breaking attendance is assured by the crowd of visitors inthe city and the f that every business institution practical of the city will be closed in order to allo  its employes an opportunity to visit the ex position the gates will open at the usual hour this morning but workingmens passes will not be honored after 830 after that hour work on the grounds will be suspended the gates will remain open until 11 oclock tonight  where notables will gather   the ceys and directors of the tion  h escort to the plaza of st louis the foligwing order will be preserved detachment of jefferson guards philippine scouts band philippine scouts sousas band offi cer united states army col he a kings bury officers and directors of the exposi tion national commission board of lady managers representatives of foreign governments will assemble in the hall of congresses 4  915 am they will walk with escort 5 the place assigned them for the opening ceremonies on the plaza of st louls thefollowing order will be observed   detachment of jefferson guard weils band officer united states army maj hammond committee on foreign relations of the board of directors and secretary of the committee director of exploitation and commissioners of the exposition to foreign countries commissioners and representatives of the foreign countries in customary  order   representatives of state and territorial  govern cnts will assemble at 915 a m at  the united states government building from there they will walk under escort to the place assigned them for the opening ceremonies on the plaza of st louis   the following order will be observed detachment jefferson guard innes band  officer united states army capt king committee on legislation and state and  territorial exhibits of the board of directors  and the chief of the department of domestic exploitation united states government  board commissioners and representatives  of state and territories nes "
"6","SLGD_1904_04_30_P1_001_06.txt",FALSE,"GREATEST WORLD'S FAIR OPENS ITS GATES TO-DAY",30,4,1904,"SLGD","4/30/04","checked","P1_001","_06","SLGD19040430P1_001","order of arrival at purchase monument  arriving at the louisiana purchase monument prior to the opening ceremonies the officials and guests will be conducted to their seats by gen edmund rice grand marshal and his aids while sousas band taking its position in the east band  stand will offer a special programme the order of arrival will be as follows  president francis and officials of the exyosition  governors and commissioners of the states and territories  foreign commissioners  city officials comprising mayor council house of delegates officers and members of board of education and judges of the several courts escorted by committees of exposition directors and preceded by a band and a detachment of jefferson guards enf tering by the parade gate   prince po lun and party in carriages enter by parade gate escorted by committee of exposition directors  chief of staff united states army adna r chaffee escorted by gen john c bates official committee and troop of united states cavalry  congressional delegates escorted by committee and troop of cavalry  secretary of war william h taft representing the president of the united states escorted by committee and two troops of eavalry "
"7","SLGD_1904_04_30_P2_001.txt",NA,"FAIR IS SWEPT CLEAN",30,4,1904,"SLGD","4/30/04","","P2_001",NA,"SLGD19040430P2_001","7  force of 15000 men working all night put grounds in shape  much also accomplished in exhibit  phlacéswork to continue   until noon  we rene  a night force of 15000 men working until   the sun broke over the exposition this morning completed the iast remnant of work on thé roadways and avenues of the white city the night proceting bic mg  e worlds fair was y    1s ot aay at the exposition grounds a  overthe grounds were seatteréd groups    busy men lights shone forth from get a every part of the big picture where be was in progress and superinten ents my up a night vigh driving over the groun at intervals  2 ein and noting the prog wor   efgnae  taylor director of works and r  h phillips chief civil eng ener romaine  at their offices in the administration bui ae  ing urtil ncarly midnight keeping cipealy in touch with the development of the work  up to midnight with the exception of some  small sections of roadwork which pemeincy  nnfinished the thirtyfour miles of asphalt paving and gravel stone walks had about reached completion much work accomplished  the exhibit palaces an army of men wirkas teeuknoot the night accomplishing an amount of work that might be attributed to the labor of several dayshundreds  t exhibits were installed in the various build ings between 6 mg last evening and 4  y this morning   rere iy this number of laborers on the  grounds and buildings twentyfive teams  and 20 men went over the grounds during the night gathering up every vestige of refuse and debris left by the last hours of work a force of men will be employed in the exhibit palaces this morning up to noon  at this hour the buildings will have been  swept cleaned and dusted and ready to  throw open to the public on the complétion of the opening ceremonies  ceremonies symbolical of the holy  land will mark event  i of the gates of jerusalem on he worlds fate grovnae will be celebrated this afternoon at 4 oclock bythe aa of a cannon from the tower of david followed by the arr te f ofthe american and turkish flags all the jews will assemble at the call to prayer from the minarette where rev dr j w lee pastor of the st johns southern methodist church will invoke the divine blessing and deviler an address  ceremonies rape of jerusalem by natives from the holy land will be conducted by mme von finkelstein mountford rev john haddad and the choir from the eastern christian church will read from the prayer book and chant and burn incense this will be followed by the fatihah which is the confession of faith chant and prayer by mohammedan imam and his congregation h  an israelite native of jerusalem will blow the oe and sing in hebrew lift up your heads o ye gates this will be followed by the national ottoman 22 doy by the inhabitants of jerusalem t nm hee will conclude with the ox  ity sung by the st johns m e chure choir   final arrangements for the conduct of the cavalry troops which will escort secretary of war william h taft and gen a r chaffee to the worlds fair grounds this morning were announced at jefferson barracks yesterday troops i k land m of the 4th cavalry will leave the barracks at 530 oclock this ery tes r ne command of lieut col sampre fountain   two of the troops will proces othe residence of daniel c nugent 3701 westminster place where judge tdafts escort will be formed at 815 anothér troop will escort gen chaffee to the exposition grounds from gen bates residence 4380 mepherson avenue the fourth pen 7 will be detailed to the congressional committee  troops i k l and m are composed of 47 47 48 and 44 men rospecsvery all will be in the regulation full dress with equipments complete one sergeant and two privates will be detailed to guard the colors 0 the secretary of war  local and visiting detectives had a busy friday  chief of detectives desmonds men and visiting detectives were kept busy yesterday age 8 pickpockets and general thieves who havé been attracted to the city by the worlds fair opening the men were locked up at the various districts to be held for at least twenty hours when if no charge is found against them they will be sent to police court for idling among the pickups fete eee was robert miller said to be a pickpocket and thief a4 ternational a a ag he was arrested in a crowd at seventh and market streets by detective john shevlin of hot springs ark and detective markham  more filipinos coming  a band of saves sit moros and nt et bos the most savage tribes in the phili pies is to arrive bs ie the natives will  e given shelter in the cuartel for the present and later will dwell in villages on arrowhead lake the igorrotes will move into their wees today  dr w p wilson chairman of the phfifees exposition board announced yester y that the philippine exhibit would  0t be opened to the public for some days as the rains and snow had delayed the work of completion visitors will be admitted to ps se but not to the buildings or vyilages  roads to carry extra coaches  none of the railroads reaching st louts will run excursion trains today but the    regular service will be bas tere with extra pig eg for the accom ion of visitors to the worlds fair opening each of the regular trains will be supplied with from two to five extra coaches and reduced rates are offered for the round tg 7 all the roads a large advance sale of tickets from bret reported and a recordbreaking sroaa  ed and a recordt in  is expected by the railroad men f 3 cablegram from france i  the following cablegram from the mh dent of the municivat councft of batis i france was received by president francis    yesterday the city of paris takes part   1  the grand manifestation of human i 7 ity her representatives regret not to 4st able to assist in the inatguration ceremo    nies but ex to visit you later in their   t name 1 send you the expression of the most    cordial sympathy deville president   8  ss 12 one entrance to be closed i  all of the entrances to the worid  grounds will be grenes par whe the c ception of the pi which it was      found poone to complete in time for the opening work on the subway near   t the approach to be   entrance has the     bg   bee ished state and ft will   r of next week ad ssscthescs i    t miss gould due today é ss helen m gould and a if er ny wee the pa wil proceed at onte a par a brs a paaeaat  abr yaaning served   socuntenmeuneeeneteeee 4   preexposition dlumination gs ara aa is 3 ings and eared as i nightly during the coming oe ial  sworn in as city police f two hundred members of  goons were sworn ye ae oy é president w g stue aed tome tary ward       ceremonies begin early the opening of the great worlds fair 80 the season at forest park  begins earlyapril 30  "
"8","SLGD_1904_04_30_P2_002.txt",NA,"COCOPA INDIANS FROM OLD MEXICO ARRIVE",30,4,1904,"SLGD","4/30/04","","P2_002",NA,"SLGD19040430P2_002","seer or eee  huddle about oamp fire throughout long day village not ready  thirtyfour cocopa indians survivors of a fastdisappearing tribe native to the vicinity of sonora in old mexico arrived at the worlds falr grounds yesterday noun and were taken to the indian building it was found that po proper houses had been erected for their reception and for the greater part of the afternoon the indians were compelied te remain huddled about a camp fire in the foe this prereniy  caused them no evance however the women wrapped in their bright woolen an calico earments sat on the aroged tailor   fashion the naked infants rolled bitssfully 8 ete the mén were content to stand m  the distance gazing abstrgctly away at éo it was deemed time for su fagen tage seite ar eae reat and id upon a block 3 ap husks name then procured m short  e and progy yg the meat from the then he laid the meek spon the smoldering ss fits taaite sate sertetioes be tribe  a eirele  v the fire and watched only when pa natok   meat  the jjust  om ps bg was s  was portena h iat with large the nterpreter bx of the indiana explained considerable difficulty had reid eaain pig mest treas she nck ans   men wear their hair fonz over their shoulders last night the party   wars provided with bede in the indian a3   this morning pre tions will be ma for the erection of the brush squeee in wnict ther will live  were quartered in pk pot   po fg rad    o   paileie dv costume chief pike attraction "
"9","SLGD_1904_04_30_P2_003.txt",NA,"LIFE-SAVING EXHIBIT NEARING COMPLETION",30,4,1904,"SLGD","4/30/04","","P2_003",NA,"SLGD19040430P2_003","lifesaving exhibit wrecking mast will be erected t0daydate for performances not set   the wrecking mast in the center of what   is to be the pond in front of the united states treasury lifesaving exhjbit will be erected tomorrow morning it is afound this mast that the lifesaving crew will exhibit age 4 feats many of the men who compose the ly geadn w ehag at the worlds fair appeared in a similar capacity at the buffalo and chicago expositions one of the favorite tricks of the bie eevin crews at those expositions was to dress one of their miost expert swimmers up as a rube whse role it is to fall in the pond and almost drown the rube trained to remain under water for an unusually a one is finally reseved rolied in a barre and taken to the bata oy station where he calmly wakes up and strips himself of all but the swimmers tights which he wears underneath his countrified garntents exhibitions by the as agetio   service are to begin soon fa aie ge 4 capt pg rh  mclellan in   é can ne pong 4 fix the day performances w i beatn at 280 oclock every afternoon it include the following simscascn tions launch and drill with the surfboat demonstration of the method of rescuing   earn nen pa rr sr ne rr por cet re "
"10","SLGD_1904_04_30_P2_004.txt",NA,"CUBAN SENATE VOTES $50,000 FOR FAIR EXHIBIT",30,4,1904,"SLGD","4/30/04","","P2_004",NA,"SLGD19040430P2_004"," 50000 for fair exhibit srrorat cablegram to the gloredemocnat havana april 29the senate today voted  50000 to eect the extra expenses of cuba at the louisiana purchase posithon the house of representatives made a4 futile attempt to meet the liberals refused to agsist in making a gars tgp because the moderate majority of the committee on credentials intended to report adversely on the claims of some of the liberal candidates some of the moderate senators are attempting to induce the senate to partly undo the adverse vote on the four recent appointments of judges of the supreme court friends of the government deny that senor zaldo minisler of justice has made any pekgeset to make apipaimasats of judges to assist   friends hey say that the action of the senate in refusing to confirm the nominations was prompted hy personal animosity the oppopuion senators hold the government has i aved unfairly to the former chief jusee marager pa eys be of the peigened ot om  pany says tha company p 3000boo buscoes of bananas ffom cuba this year however the company does not look to cuba as a future source of a large supply as its latituds is too high to entertain press parliament completed arrangements for the entertainmeni to be given the byes ig ts press pariiament on the afternoon of may 21 were ward chalries of the general pre cox ward chairman   gener fommittee the entertainment will take the form of a reception and a drlewald of the german ge se eens erial commission has loaned the beautiful g n ment a gee for thé occasion the bait band ssaalges the music gen mmissioner ht of the italian commission will loan sh squad of italian marines which have rec a areie in st louis te do quand duty at building a number of pretty wall as dainty daiiods toe fey tin aae as hay sy acer the japanese and images od uses pd sérye téa dur  ba afternoon atti in their native nearly 1500 invitations will be issued the fronts for the slscastt ate aie bevig men r the affair are mrs g francis and mrs phillip n moore soren ate ea  pike parade  a parade of all nations will be héld on worlds fair ig aes the  park highlands fair opensapril   i "
