,count,city,state,country,continent,geo_region,place_name
1,287,Washington DC,NA,USA,NA,NA,United States
2,194,Metro Manila,NA,Philippines,NA,NA,Philippines
3,120,New York,New York,USA,NA,NA,New York
4,105,Jefferson City,Missouri,USA,NA,NA,Missouri
5,76,Berlin,NA,Germany,NA,NA,Germany
6,72,Washington DC,NA,USA,NA,NA,Washington DC
7,58,Tokio,NA,Japan,NA,NA,Japan
8,54,Paris,NA,France,NA,NA,France
9,51,Chicago,IL,USA,NA,NA,Chicago
10,51,Beijing,NA,China,NA,NA,China
11,43,Mexico City,NA,Mexico,NA,NA,Mexico
12,42,London,NA,UK,NA,NA,United Kingdom
13,39,Topeka,KS,USA,NA,NA,Kansas
14,32,Austin,TX,USA,NA,NA,Texas
15,30,Paris,NA,France,NA,NA,Paris
16,27,Sacramento,California,USA,NA,NA,California
17,25,Dublin,NA,Ireland,NA,NA,Ireland
18,25,Moscow,NA,Russia,NA,NA,Russia
19,22,Brasilia,NA,Brazil,NA,NA,Brazil
20,22,San Francisco,California,USA,NA,NA,San Francisco
21,20,Rome,NA,Italy,NA,NA,Italy
22,20,Columbus,Ohio,USA,NA,NA,Ohio
23,19,Ottawa,NA,Canada,NA,NA,Canada
24,19,London,NA,UK,NA,NA,London
25,18,NA,NA,Cocopah Reservation,NA,NA,Cocopah
26,18,Indianapolis,Indiana,USA,NA,NA,Indiana
27,18,New Orleans,Louisiana,USA,NA,NA,New Orleans
28,15,Vienna,NA,Austria,NA,NA,Austria-Hungary
29,15,The Hague,NA,Netherlands,NA,NA,Netherlands
30,15,Toronto,NA,Canada,NA,NA,Toronto
31,14,Juneau,Alaska,USA,NA,NA,Alaska
32,14,Brussels,NA,Belgium,NA,NA,Belgium
33,14,Springfield,Illinois,USA,NA,NA,Illinois
34,14,Frankfort,Kentucky,USA,NA,NA,Kentucky
35,11,Boston,Massachusetts,USA,NA,NA,Boston
36,11,Denver,Colorado,USA,NA,NA,Colorado
37,10,Havana,NA,Cuba,NA,NA,Cuba
38,10,NA,NA,Hopi Reservation,NA,NA,Moqui
39,10,Oklahoma City,Oklahoma,USA,NA,NA,Oklahoma
40,10,NA,NA,Cheyenne River Reservation,NA,NA,Sioux
41,9,Berlin,NA,Germany,NA,NA,Berlin
42,9,NA,NA,NA,Latin America,NA,Latin America
43,9,Richmond,Virginia,USA,NA,NA,Virginia
44,8,NA,NA,NA,Africa,NA,Africa
45,8,NA,NA,NA,Europe,NA,Europe
46,8,Trenton,New Jersey,USA,NA,NA,New Jersey
47,8,Stockholm,NA,Sweden,NA,NA,Sweden
48,7,Little Rock,Arkansas,USA,NA,NA,Arkansas
49,7,Jerusalem,NA,Israel,NA,NA,Jerusalem
50,7,Philadelphia,Pennsylvania,USA,NA,NA,Philadelphia
51,7,Salt Lake City,Utah,USA,NA,NA,Utah
52,6,Helena,Montana,USA,NA,NA,Montana
53,6,Philadelphia,Pennsylvania,USA,NA,NA,Pennsylvania
54,5,Cincinnati,Ohio,USA,NA,NA,Cincinnati
55,5,Des Moine,Iowa,USA,NA,NA,Iowa
56,5,Minneapolis,Minnesota,USA,NA,NA,Minneapolis
57,5,Pittsburg,Pennsylvania,USA,NA,NA,Pittsburg
58,5,Rome,NA,Italy,NA,NA,Rome
59,5,Madrid,NA,Spain,NA,NA,Spain
60,5,Springfield,Illinois,USA,NA,NA,Springfield
61,4,Phoenix,Arizona,USA,NA,NA,Arizona
62,4,Denver,Colorado,USA,NA,NA,Denver
