DOC_ID,FIRST_PAGE_INDICATOR,TITLE,DAY,MONTH,YEAR,NEWSPAPER_ID,ARTICLE_DATE,EXTRA_ARTICLE_DATE,MULTIPAGE_ARTICLE,ARTICLE_ID
TSLR_1903_12_01_P7_001,NA,SOUTH DAKOTA'S BUILDING AT THE WORLD'S FAIR,01,12,1903,TSLR,,1903-12-19,,P7_001
SLPD_1904_05_07_P1_001,NA,PRETTY GIRLS FROM DIXIE TO SEE FAIR,07,05,1904,SLPD,,1904-05-19,,P1_001
SLPD_1904_05_07_P1_002,NA,SUIT FOR PIKE CONCESSION,07,05,1904,SLPD,,1904-05-19,,P1_002
SLPD_1904_05_07_P1_003,NA,WOMAN WHO LURED GIRLS FROM EUROPE TO ST. LOUIS CAUGHT,07,05,1904,SLPD,,1904-05-19,,P1_003
SLPD_1904_05_07_P2_001,NA,HIS VOTE CAST UNDER DURESS,07,05,1904,SLPD,,1904-05-19,,P2_001
SLPD_1904_05_07_P2_002,NA,THE SUNDAY POST DISPATCH,07,05,1904,SLPD,,1904-05-19,,P2_002
SLPD_1904_05_07_P2_003,NA,T. ATKINS PUTS NATIONS TO FLIGHT,07,05,1904,SLPD,,1904-05-19,,P2_003
SLPD_1904_05_07_P3_001,NA,PRINCE PU LUN'S RECEPTION MOST GORGEOUS OF FAIR SOCIAL EVENTS,07,05,1904,SLPD,,1904-05-19,,P3_001
SLPD_1904_05_07_P4_001,NA,THE OUT OF TOWN CORRESPONDENT,07,05,1904,SLPD,,1904-05-19,,P4_001
SLPD_1904_05_07_P4_002,NA,"DON'T ""KNOCK,"" BUT PUSH.",07,05,1904,SLPD,,1904-05-19,,P4_002
SLPD_1904_05_07_P4_003,NA,LETTERS FROM THE PEOPLE,07,05,1904,SLPD,,1904-05-19,,P4_003
SLPD_1904_05_14_P1_001,NA,ORPHAN GIRLS DEDICATE BELGIAN PAVILION WITH ROSES AND CARNATIONS,14,05,1904,SLPD,1904-05-14,,,P1_001
SLPD_1904_05_14_P2_001,NA,JEFFERSON GUARDS CONFESS TO THEFT,14,05,1904,SLPD,,1904-05-19,,P2_001
SLPD_1904_05_14_P2_002,NA,FUNNY SIDE OF THE FAIR,14,05,1904,SLPD,1904-05-14,,,P2_002
SLPD_1904_05_14_P2_003,NA,SEND YOURSELF A WIRELESS MESSAGE,14,05,1904,SLPD,,1904-05-19,,P2_003
SLPD_1904_05_14_P2_004,NA,FAIR A MAGNET FOR ALL EUROPE,14,05,1904,SLPD,1904-05-14,,,P2_004
SLPD_1904_05_14_P4_001,NA,PEERS AND STONE.,14,05,1904,SLPD,,1904-05-19,,P4_001
SLPD_1904_05_14_P4_002,NA,LETTERS FROM THE PEOPLE,14,05,1904,SLPD,,1904-05-19,,P4_002
TSLR_1904_05_14_P3_001,NA,DISTINGUISHED CANADIANS WILL VISIT WORLD'S FAIR,14,05,1904,TSLR,,1904-05-19,,P3_001
TSLR_1904_05_14_P3_002,NA,FACTS ABOUT SAVAGES AT THE WORLD'S FAIR,14,05,1904,TSLR,1904-05-14,,,P3_002
TSLR_1904_05_14_P3_003,NA,CIVIC IMPROVEMENT CONVENTIONS FOR FAIR,14,05,1904,TSLR,1904-05-14,,,P3_003
