ARTICLE_DATE,WEEK_DAY,TSLR_COUNT,SLPD_COUNT,SLGD_COUNT,TOTAL_COUNT,DOC_ID
1903-12-01,Tuesday,1,0,0,1,"TSLR_1903_12_01_P7_001_01,TSLR_1903_12_01_P7_001_02,TSLR_1903_12_01_P7_001_03"
1904-04-30,Saturday,3,12,3,18,"TSLR_1904_04_30_P1_004,TSLR_1904_04_30_P1_005,TSLR_1904_04_30_P1_006_01,TSLR_1904_04_30_P1_006_02,SLPD_1904_04_30_P4_004,SLPD_1904_04_30_P4_005,SLPD_1904_04_30_P4_006_01,SLPD_1904_04_30_P4_006_02,SLPD_1904_04_30_P4_006_03,SLPD_1904_04_30_P4_006_04,SLPD_1904_04_30_P4_006_05,SLPD_1904_04_30_P4_007,SLPD_1904_04_30_P4_008,SLPD_1904_04_30_P2_001,SLPD_1904_04_30_P2_002,SLPD_1904_04_30_P2_003,SLPD_1904_04_30_P2_004_01,SLPD_1904_04_30_P2_004_02,SLPD_1904_04_30_P2_005,SLPD_1904_04_30_P2_006,SLPD_1904_04_30_P2_007,SLGD_1904_04_30_P2_002,SLGD_1904_04_30_P2_003,SLGD_1904_04_30_P2_004,SLPD_1904_04_30_P4_006_06,SLPD_1904_04_30_P2_004_03,SLPD_1904_04_30_P2_004_04"
1904-05-07,Saturday,0,7,0,7,"SLPD_1904_05_07_P2_001,SLPD_1904_05_07_P2_002,SLPD_1904_05_07_P2_003,SLPD_1904_05_07_P3_001_01,SLPD_1904_05_07_P4_001,SLPD_1904_05_07_P4_002,SLPD_1904_05_07_P4_003,SLPD_1904_05_07_P3_001_02,SLPD_1904_05_07_P3_001_03"
1904-05-07,Saturday,0,4,0,4,"SLPD_1904_05_07_P1_001,SLPD_1904_05_07_P1_004,SLPD_1904_05_07_P1_003_03,SLPD_1904_05_07_P1_003_02,SLPD_1904_05_07_P1_003_01,SLPD_1904_05_07_P1_002"
1904-05-14,Saturday,2,4,1,7,"SLPD_1904_05_14_P4_001,SLPD_1904_05_14_P4_002,SLPD_1904_05_14_P2_003,SLPD_1904_05_14_P2_001,TSLR_1904_05_14_P3_001,TSLR_1904_05_14_P9_002,SLGD_1904_05_14_P3_002"
1904-05-28,Saturday,3,0,2,5,"SLGD_1904_05_28_P3_002,SLGD_1904_05_28_P1_001_01,SLGD_1904_05_28_P1_001_02,TSLR_1904_05_28_P2_001_01,TSLR_1904_05_28_P2_001_02,TSLR_1904_05_28_P2_002_01,TSLR_1904_05_28_P2_002_02,TSLR_1904_05_28_P2_003"
1904-05-29,Sunday,0,5,0,5,"SLPD_1904_05_29_P49_001_01,SLPD_1904_05_29_P49_001_02,SLPD_1904_05_29_P49_001_03,SLPD_1904_05_29_P49_001_04,SLPD_1904_05_29_P49_001_05,SLPD_1904_05_29_P16_001,SLPD_1904_05_29_P57_001,SLPD_1904_05_29_P57_002,SLPD_1904_05_29_P16_002"
1904-06-11,Saturday,1,0,1,2,"SLGD_1904_06_11_P2_003,TSLR_1904_06_11_P9_002_01,TSLR_1904_06_11_P9_002_02"
1904-06-12,Sunday,0,2,0,2,"SLPD_1904_06_12_P14_001_01,SLPD_1904_06_12_P14_001_02,SLPD_1904_06_12_P51_001_01,SLPD_1904_06_12_P51_001_02,SLPD_1904_06_12_P51_001_03,SLPD_1904_06_12_P51_001_04,SLPD_1904_06_12_P51_001_05,SLPD_1904_06_12_P51_001_06,SLPD_1904_06_12_P51_001_07,SLPD_1904_06_12_P51_001_08,SLPD_1904_06_12_P51_001_09"
1904-06-25,Saturday,0,0,4,4,"SLGD_1904_06_25_P2_003,SLGD_1904_06_25_P2_004,SLGD_1904_06_25_P2_005,SLGD_1904_06_25_P2_006_01,SLGD_1904_06_25_P2_006_02,SLGD_1904_06_25_P2_006_03"
1904-07-09,Saturday,2,1,10,13,"SLGD_1904_07_09_P5_003,SLGD_1904_07_09_P5_004,SLGD_1904_07_09_P5_005,SLGD_1904_07_09_P5_006,SLGD_1904_07_09_P5_007,SLGD_1904_07_09_P5_008,SLGD_1904_07_09_P5_009,SLGD_1904_07_09_P5_010_01,SLGD_1904_07_09_P5_010_02,SLGD_1904_07_09_P5_011_01,SLGD_1904_07_09_P5_011_02,SLGD_1904_07_09_P5_012_01,SLGD_1904_07_09_P5_012_02,SLGD_1904_07_09_P5_012_03,TSLR_1904_07_09_P10_001,TSLR_1904_07_09_P9_002,SLPD_1904_07_09_P5_001"
1904-07-23,Saturday,1,0,1,2,"TSLR_1904_07_23_P9_004,SLGD_1904_07_23_P2_003"
1904-08-06,Saturday,9,2,2,13,"TSLR_1904_08_06_P9_003,TSLR_1904_08_06_P9_004,TSLR_1904_08_06_P9_005,TSLR_1904_08_06_P9_006,TSLR_1904_08_06_P9_007,TSLR_1904_08_06_P9_008,TSLR_1904_08_06_P9_009,TSLR_1904_08_06_P9_010,SLPD_1904_08_06_P2_004,TSLR_1904_08_06_P10_001,SLPD_1904_08_06_P1_001,SLGD_1904_08_06_P3_003,SLGD_1904_08_06_P3_004"
1904-08-20,Saturday,0,0,4,4,"SLGD_1904_08_20_P3_002_01,SLGD_1904_08_20_P3_002_02,SLGD_1904_08_20_P3_003,SLGD_1904_08_20_P3_004,SLGD_1904_08_20_P3_005"
1904-09-03,Saturday,1,0,1,2,"TSLR_1904_09_03_P9_004,SLGD_1904_09_03_P4_003"
1904-09-17,Saturday,1,0,4,5,"TSLR_1904_09_17_P9_002_01,TSLR_1904_09_17_P9_002_02,SLGD_1904_09_17_P2_003,SLGD_1904_09_17_P2_004,SLGD_1904_09_17_P2_005,SLGD_1904_09_17_P2_006"
