ARTICLE_DATE,WEEK_DAY,TSLR_COUNT,SLPD_COUNT,SLGD_COUNT,TOTAL_COUNT,DOC_ID,NOTES
1904-04-30,Saturday,3,3,2,8,"TSLR_1904_04_30_P1_001_01,TSLR_1904_04_30_P1_001_02,TSLR_1904_04_30_P1_002_01,TSLR_1904_04_30_P1_003,SLPD_1904_04_30_P4_001,SLPD_1904_04_30_P4_002_01,SLPD_1904_04_30_P4_003_01,SLGD_1904_04_30_P2_001,SLGD_1904_04_30_P1_001_01,SLGD_1904_04_30_P1_001_02,SLGD_1904_04_30_P1_001_03,SLGD_1904_04_30_P1_001_04,SLGD_1904_04_30_P1_001_05,SLGD_1904_04_30_P1_001_06,TSLR_1904_04_30_P1_001_03,TSLR_1904_04_30_P1_001_04,TSLR_1904_04_30_P1_001_05,TSLR_1904_04_30_P1_002_02,TSLR_1904_04_30_P1_002_03,TSLR_1904_04_30_P1_002_04,SLPD_1904_04_30_P4_002_02,SLPD_1904_04_30_P4_003_02,SLPD_1904_04_30_P4_003_03,SLPD_1904_04_30_P4_003_04,SLPD_1904_04_30_P4_003_05",(first day of the fair)
1904-05-14,Saturday,3,3,2,8,"SLPD_1904_05_14_P1_001_01,SLPD_1904_05_14_P2_002,SLPD_1904_05_14_P2_004,TSLR_1904_05_14_P3_002,TSLR_1904_05_14_P3_003,TSLR_1904_05_14_P9_001_01,SLGD_1904_05_14_P3_001_01,SLGD_1904_05_14_P3_003_01,TSLR_1904_05_14_P9_001_02,TSLR_1904_05_14_P9_001_03,SLPD_1904_05_14_P1_001_02,SLPD_1904_05_14_P1_001_03,SLGD_1904_05_14_P3_001_02,SLGD_1904_05_14_P3_003_02,SLGD_1904_05_14_P3_003_03,SLGD_1904_05_14_P3_003_04",
1904-05-28,Saturday,3,3,2,8,"TSLR_1904_05_28_P1_001_01,TSLR_1904_05_28_P1_001_02,TSLR_1904_05_28_P1_001_03,TSLR_1904_05_28_P1_001_04,TSLR_1904_05_28_P1_001_05,TSLR_1904_05_28_P7_001_01,TSLR_1904_05_28_P7_002_01,SLPD_1904_05_28_P9_001,SLPD_1904_05_28_P9_002,SLPD_1904_05_28_P9_003,SLGD_1904_05_28_P2_001,SLGD_1904_05_28_P3_001_01,SLGD_1904_05_28_P3_001_02,SLGD_1904_05_28_P3_001_03,SLGD_1904_05_28_P3_001_04,TSLR_1904_05_28_P7_001_02,TSLR_1904_05_28_P7_001_03,TSLR_1904_05_28_P7_001_04,TSLR_1904_05_28_P7_002_02,TSLR_1904_05_28_P7_002_03",
1904-06-11,Saturday,3,3,2,8,"SLGD_1904_06_11_P2_001_01,SLGD_1904_06_11_P2_001_02,SLGD_1904_06_11_P2_002,TSLR_1904_06_11_P2_001,TSLR_1904_06_11_P4_001_01,TSLR_1904_06_11_P4_001_02,TSLR_1904_06_11_P4_001_03,TSLR_1904_06_11_P9_001_01,TSLR_1904_06_11_P9_001_02,SLPD_1904_06_11_P1_001,SLPD_1904_06_11_P1_002_01,SLPD_1904_06_11_P1_002_02,SLPD_1904_06_11_P1_002_03,SLPD_1904_06_11_P1_002_04,SLPD_1904_06_11_P10_001_01,SLPD_1904_06_11_P10_001_02",
1904-06-25,Saturday,3,3,2,8,"TSLR_1904_06_25_P2_001,TSLR_1904_06_25_P2_002,TSLR_1904_06_25_P1_001_01,TSLR_1904_06_25_P1_001_02,TSLR_1904_06_25_P1_001_03,TSLR_1904_06_25_P1_001_04,SLPD_1904_06_25_P1_001_01,SLPD_1904_06_25_P1_001_02,SLPD_1904_06_25_P1_001_03,SLPD_1904_06_25_P3_001_01,SLPD_1904_06_25_P3_001_02,SLPD_1904_06_25_P3_002,SLGD_1904_06_25_P2_001,SLGD_1904_06_25_P2_002_01,SLGD_1904_06_25_P2_002_02,SLGD_1904_06_25_P2_002_03",
1904-07-09,Saturday,3,3,2,8,"SLGD_1904_07_09_P5_001_01,SLGD_1904_07_09_P5_001_02,SLGD_1904_07_09_P5_002,TSLR_1904_07_09_P8_001_01,TSLR_1904_07_09_P8_001_02,TSLR_1904_07_09_P9_001,TSLR_1904_07_09_P11_001_01,TSLR_1904_07_09_P11_001_02,SLPD_1904_07_09_P7_001,SLPD_1904_07_09_P11_001,SLPD_1904_07_09_P11_002",
1904-07-23,Saturday,3,3,2,8,"TSLR_1904_07_23_P9_001_01,TSLR_1904_07_23_P9_001_02,TSLR_1904_07_23_P9_002,TSLR_1904_07_23_P9_003,SLPD_1904_07_23_P2_001_01,SLPD_1904_07_23_P2_001_02,SLPD_1904_07_23_P2_001_03,SLPD_1904_07_23_P2_002,SLPD_1904_07_23_P2_003,SLGD_1904_07_23_P2_001,SLGD_1904_07_23_P2_002_01,SLGD_1904_07_23_P2_002_02",
1904-08-06,Saturday,3,3,2,8,"TSLR_1904_08_06_P1_001,TSLR_1904_08_06_P9_001,TSLR_1904_08_06_P9_002_01,TSLR_1904_08_06_P9_002_02,SLPD_1904_08_06_P2_001,SLPD_1904_08_06_P2_002_01,SLPD_1904_08_06_P2_002_02,SLPD_1904_08_06_P2_003,SLGD_1904_08_06_P3_001,SLGD_1904_08_06_P3_002",
1904-08-20,Saturday,3,3,2,8,"SLGD_1904_08_20_P1_001_01,SLGD_1904_08_20_P1_001_02,SLGD_1904_08_20_P1_001_03,SLGD_1904_08_20_P3_001_01,SLGD_1904_08_20_P3_001_02,TSLR_1904_08_20_P9_001,TSLR_1904_08_20_P9_002,TSLR_1904_08_20_P9_003_01,TSLR_1904_08_20_P9_003_02,SLPD_1904_08_20_P1_001_01,SLPD_1904_08_20_P1_001_02,SLPD_1904_08_20_P1_001_03,SLPD_1904_08_20_P1_002_01,SLPD_1904_08_20_P1_002_02,SLPD_1904_08_20_P1_002_03,SLPD_1904_08_20_P2_001_01,SLPD_1904_08_20_P2_001_02",
1904-09-03,Saturday,3,3,2,8,"TSLR_1904_09_03_P9_001,TSLR_1904_09_03_P9_002_01,TSLR_1904_09_03_P9_002_02,TSLR_1904_09_03_P9_002_03,TSLR_1904_09_03_P9_002_04,TSLR_1904_09_03_P9_002_05,TSLR_1904_09_03_P9_002_06,TSLR_1904_09_03_P9_003,SLGD_1904_09_03_P4_001,SLGD_1904_09_03_P4_002_01,SLGD_1904_09_03_P4_002_02,SLPD_1904_09_03_P4_001,SLPD_1904_09_03_P8_001,SLPD_1904_09_03_P9_001",
1904-09-17,Saturday,3,3,2,8,"SLPD_1904_09_17_P2_001,SLPD_1904_09_17_P3_001_01,SLPD_1904_09_17_P3_001_02,SLPD_1904_09_17_P4_001,TSLR_1904_09_17_P1_001,TSLR_1904_09_17_P1_002_01,TSLR_1904_09_17_P1_002_02,TSLR_1904_09_17_P1_002_03,TSLR_1904_09_17_P9_001,SLGD_1904_09_17_P2_001_01,SLGD_1904_09_17_P2_001_02,SLGD_1904_09_17_P2_002",
1904-10-01,Saturday,3,3,2,8,"TSLR_1904_10_01_P5_001,TSLR_1904_10_01_P5_002,TSLR_1904_10_01_P5_003,SLPD_1904_10_01_P2_001,SLPD_1904_10_01_P2_002_01,SLPD_1904_10_01_P2_002_02,SLPD_1904_10_01_P2_002_03,SLPD_1904_10_01_P3_001,SLGD_1904_10_01_P2_001_01,SLGD_1904_10_01_P2_001_02,SLGD_1904_10_01_P2_002",
1904-10-15,Saturday,3,3,2,8,"SLGD_1904_10_15_P2_001,SLGD_1904_10_15_P2_002_01,SLGD_1904_10_15_P2_002_02,SLPD_1904_10_15_P2_001,SLPD_1904_10_15_P3_001,SLPD_1904_10_15_P5_001,TSLR_1904_10_15_P4_001,TSLR_1904_10_15_P4_002,TSLR_1904_10_15_P4_003",
1904-10-29,Saturday,3,3,2,8,"SLGD_1904_10_29_P3_001,SLGD_1904_10_29_P5_001_01,SLGD_1904_10_29_P5_001_02,TSLR_1904_10_29_P5_001,TSLR_1904_10_29_P5_002,TSLR_1904_10_29_P5_003_01,TSLR_1904_10_29_P5_003_02,TSLR_1904_10_29_P5_003_03,SLPD_1904_10_29_P1_001,SLPD_1904_10_29_P2_001,SLPD_1904_10_29_P2_002",
