"","count","city","state","country","native_group","continent","geo_region"
"1",287,NA,NA,"United States",NA,NA,NA
"2",194,NA,NA,"Philippines",NA,NA,NA
"3",120,"New York",NA,NA,NA,NA,NA
"4",105,NA,"Missouri",NA,NA,NA,NA
"5",76,NA,NA,"Germany",NA,NA,NA
"6",72,NA,"Washington DC",NA,NA,NA,NA
"7",58,NA,NA,"Japan",NA,NA,NA
"8",54,NA,NA,"France",NA,NA,NA
"9",51,"Chicago",NA,NA,NA,NA,NA
"10",51,NA,NA,"China",NA,NA,NA
"11",43,NA,NA,"Mexico",NA,NA,NA
"12",42,NA,NA,"United Kingdom",NA,NA,NA
"13",39,NA,"Kansas",NA,NA,NA,NA
"14",32,NA,"Texas",NA,NA,NA,NA
"15",30,"Paris",NA,NA,NA,NA,NA
"16",27,NA,"California",NA,NA,NA,NA
"17",25,NA,NA,"Ireland",NA,NA,NA
"18",25,NA,NA,"Russia",NA,NA,NA
"19",22,NA,NA,"Brazil",NA,NA,NA
"20",22,"San Francisco",NA,NA,NA,NA,NA
"21",20,NA,NA,"Italy",NA,NA,NA
"22",20,NA,"Ohio",NA,NA,NA,NA
"23",19,NA,NA,"Canada",NA,NA,NA
"24",19,"London",NA,NA,NA,NA,NA
"25",18,NA,NA,NA,"Cocopah",NA,NA
"26",18,NA,"Indiana",NA,NA,NA,NA
"27",18,"New Orleans",NA,NA,NA,NA,NA
"28",15,NA,NA,"Austria-Hungary",NA,NA,NA
"29",15,NA,NA,"Netherlands",NA,NA,NA
"30",15,"Toronto",NA,NA,NA,NA,NA
"31",14,NA,"Alaska",NA,NA,NA,NA
"32",14,NA,NA,"Belgium",NA,NA,NA
"33",14,NA,"Illinois",NA,NA,NA,NA
"34",14,NA,"Kentucky",NA,NA,NA,NA
"35",11,"Boston",NA,NA,NA,NA,NA
"36",11,NA,"Colorado",NA,NA,NA,NA
"37",10,NA,NA,"Cuba",NA,NA,NA
"38",10,NA,NA,NA,"Moqui",NA,NA
"39",10,NA,"Oklahoma",NA,NA,NA,NA
"40",10,NA,NA,NA,"Sioux",NA,NA
"41",9,"Berlin",NA,NA,NA,NA,NA
"42",9,NA,NA,NA,NA,"Latin America",NA
"43",9,"Virginia",NA,NA,NA,NA,NA
"44",8,NA,NA,NA,NA,"Africa",NA
"45",8,NA,NA,NA,NA,"Europe",NA
"46",8,NA,"New Jersey",NA,NA,NA,NA
"47",8,NA,NA,"Sweden",NA,NA,NA
"48",7,NA,"Arkansas",NA,NA,NA,NA
"49",7,"Jerusalem",NA,NA,NA,NA,NA
"50",7,"Philadelphia",NA,NA,NA,NA,NA
"51",7,NA,"Utah",NA,NA,NA,NA
"52",6,"Montana",NA,NA,NA,NA,NA
"53",6,NA,"Pennsylvania",NA,NA,NA,NA
"54",5,"Cincinnati",NA,NA,NA,NA,NA
"55",5,NA,"Iowa",NA,NA,NA,NA
"56",5,"Minneapolis",NA,NA,NA,NA,NA
"57",5,"Pittsburg",NA,NA,NA,NA,NA
"58",5,"Rome",NA,NA,NA,NA,NA
"59",5,NA,NA,"Spain",NA,NA,NA
"60",5,"Springfield",NA,NA,NA,NA,NA
"61",4,"Arizona",NA,NA,NA,NA,NA
"62",4,"Denver",NA,NA,NA,NA,NA
"63",4,NA,"Georgia",NA,NA,NA,NA
"64",4,"Louisville",NA,NA,NA,NA,NA
"65",4,NA,"Maine",NA,NA,NA,NA
"66",4,NA,"Maryland",NA,NA,NA,NA
"67",4,NA,"Nevada",NA,NA,NA,NA
"68",4,NA,"New Hampshire",NA,NA,NA,NA
"69",4,NA,NA,"Persia",NA,NA,NA
"70",4,NA,NA,"Syria",NA,NA,NA
"71",3,NA,NA,NA,NA,"Asia",NA
"72",3,"Atlanta",NA,NA,NA,NA,NA
"73",3,NA,"Connecticut",NA,NA,NA,NA
"74",3,"Dallas",NA,NA,NA,NA,NA
"75",3,"Havana",NA,NA,NA,NA,NA
"76",3,"Houston",NA,NA,NA,NA,NA
"77",3,"Milwaukee",NA,NA,NA,NA,NA
"78",3,NA,"Minnesota",NA,NA,NA,NA
"79",3,NA,"Mississippi",NA,NA,NA,NA
"80",3,NA,NA,"Norway",NA,NA,NA
"81",3,NA,"Oregon",NA,NA,NA,NA
"82",3,NA,NA,NA,"Pima–Maricopa",NA,NA
"83",3,"Sacramento",NA,NA,NA,NA,NA
"84",3,"Vienna",NA,NA,NA,NA,NA
"85",2,"Alton",NA,NA,NA,NA,NA
"86",2,NA,NA,"Argentina",NA,NA,NA
"87",2,"Baltimore",NA,NA,NA,NA,NA
"88",2,"Birmingham",NA,NA,NA,NA,NA
"89",2,"Bridgeton",NA,NA,NA,NA,NA
"90",2,"Cairo",NA,NA,NA,NA,NA
"91",2,NA,NA,"Denmark",NA,NA,NA
"92",2,NA,"Idaho",NA,NA,NA,NA
"93",2,NA,NA,NA,NA,NA,"Inner Mongolia"
"94",2,NA,NA,NA,"Kwakiutl",NA,NA
"95",2,"Los Angeles",NA,NA,NA,NA,NA
"96",2,NA,NA,NA,"Muscogee Nation",NA,NA
"97",2,"Nashville",NA,NA,NA,NA,NA
"98",2,NA,NA,"Nicaragua",NA,NA,NA
"99",2,NA,NA,NA,NA,NA,"Patagonia"
"100",2,NA,NA,"Portugal",NA,NA,NA
"101",2,"Richmond, KY",NA,NA,NA,NA,NA
"102",2,NA,NA,"Switzerland",NA,NA,NA
"103",2,"Venice",NA,NA,NA,NA,NA
"104",2,NA,"Vermont",NA,NA,NA,NA
"105",2,NA,"Wisconsin",NA,NA,NA,NA
"106",2,NA,NA,"Zimbabwe",NA,NA,NA
